stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,12.26,208.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,81.49,0,0,34.17,2.63,2.63,0,0,0,0,0,0
 10-12,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,22.03,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,8,0,0,2,0,0,0,0,0,0,2,1,25,0,0,1,0,0,4,3,8,0,0,0
 24-34,0,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0.82,0,9.03,0,0,0,0,0,0,0,5.75,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,8.86,0.81,0.81,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,1.15,0.57,0,0,0,0,0,2.3,0.57,4.02,0,0,0,0,0,0,0,0.57,0,0.57,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,1.96,0,1.96,0,0,0,0,0,0,6.87,0,7.85,0,0,0,1.96,0,0,0,0,0.98,1.96,0
 84-94,0,0,0,3.19,3.19,0,1.06,0,1.06,0,0,0,0,3.19,1.06,0,0,0,0,4.25,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,1.09,1.09,1.09,0,0,0,1.09,0,0,0,0,0,0,0,1.09,1.09
108-118,0,0,0,2.3,1.53,0.77,0,0.77,0,0.77,0,0,0,0.77,0.77,4.6,0,0,0,3.83,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,3.92,0,5.88,1.96,1.96,0,1.96,0,0,0,0,0,0,0
