stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,2,7,0,0,102,0,0,3,2,0,0,2,3,0,0,0,0,0
 24-34,0,0,0,0,0,2.46,0,0,0,2.46,0,0,0,0,0.82,0,0,2.46,0,12.31,0,0,1.64,41.04,0,0,149.4,0,0,2.46,0,0,0,1.64,4.93,0,0,1.64,0,0
 36-46,0,0,1.61,0,0,3.22,0,0,0,18.53,0,0,0,0,0,0,0,0.81,0,55.59,0,0,14.5,33.84,0,0,74.12,0,0,1.61,0,0,0.81,0.81,5.64,0,0,3.22,0,0
 48-58,0,0,1.15,0,0,14.92,0,0,0,117.63,0,0,0,0,0,0,0,0,0,79.19,0,0,25.82,62.54,0,0.57,37.87,0,0,1.72,0,0,0,0,48.2,0,0,7.46,0,0
 60-70,0,0,2.94,0,0,22.58,0,0.98,0,370.03,0,0,0,1.96,0,0.98,0.98,0,0,114.84,0,1.96,11.78,106,0,1.96,23.56,0,0,2.94,0,0,0,0,45.15,0,3.93,18.65,0,1.96
 72-82,0,0.98,5.89,1.96,0,72.64,0,0,0,512.43,0,0,0,0.98,0,0,0,0,0,161.97,0,2.94,3.93,199.28,0,0.98,27.49,0,0.98,1.96,0,0,0,0,31.41,0,8.83,68.72,0,0
 84-94,0,0,7.43,2.12,0,79.65,1.06,1.06,0,348.35,1.06,0,0,0,1.06,1.06,0,1.06,0,109.39,1.06,2.12,3.19,124.26,0,1.06,14.87,0,3.19,6.37,0,0,0,0,29.74,1.06,10.62,54.16,0,1.06
 96-106,1.09,0,22.95,3.28,0,54.64,3.28,2.19,2.19,365.01,0,0,0,1.09,2.19,0,2.19,1.09,1.09,126.77,0,1.09,5.46,136.61,0,3.28,13.11,0,1.09,5.46,0,1.09,0,0,10.93,3.28,14.21,78.68,2.19,0
108-118,0,0,3.83,0.77,0,39.83,0,0.77,1.53,350.81,0.77,0,0,2.3,0.77,0,1.53,0.77,0,108,0,0,2.3,153.96,0,0.77,19.15,0,1.53,3.83,0,0.77,0,0,6.13,0,13.79,58.21,0.77,0
120,0,0,5.88,0,1.96,37.24,0,1.96,1.96,378.24,1.96,0,1.96,0,0,0,0,3.92,0,99.95,0,0,0,156.78,1.96,0,23.52,0,1.96,5.88,0,0,0,0,7.84,0,3.92,92.11,0,0
