stage,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,27,1,25,6,0,0,0,0,0
 24-34,3.28,0,1.64,0,1.64,0,0,0,0,0,22.98,0,0,0,0,3.28,0,9.03,0,2.46,0.82,64.85,0,35.3,0,1.64,0,0,0,0
 36-46,1.61,0,3.22,0,0.81,0,0,0,0.81,0,3.22,0,0,0.81,0,3.22,0,16.92,0,1.61,1.61,37.06,0,12.89,0,1.61,0,0,0,0.81
 48-58,0,0,2.87,0,2.87,0.57,0,0,0,0.57,5.16,0,1.72,0,1.15,2.3,0,15.49,0,2.3,3.44,44.76,0,13.2,0,1.15,0,0,0,0
 60-70,2.94,0.98,1.96,0,3.93,0,0,0.98,0,0,3.93,0,0.98,0,0.98,2.94,0.98,6.87,0,2.94,0.98,53,0,15.7,0,0,0,0,0,0
 72-82,5.89,0.98,9.82,0.98,4.91,0,0,11.78,0,0,9.82,0,4.91,3.93,0.98,10.8,0,11.78,0,2.94,6.87,53.99,0,32.39,0,0,3.93,0,0,0
 84-94,6.37,2.12,10.62,1.06,1.06,0,0,13.81,2.12,0,7.43,0,1.06,4.25,2.12,13.81,0,14.87,0,2.12,10.62,207.1,0,57.35,0,0,3.19,0,0,0
 96-106,3.28,0,24.04,0,2.19,1.09,3.28,21.86,0,0,10.93,1.09,0,4.37,1.09,20.76,0,15.3,0,5.46,4.37,96.17,0,46.99,0,0,9.84,1.09,0,0
108-118,9.19,3.06,16.09,9.96,3.83,0.77,1.53,25.28,0,2.3,14.55,0,0.77,13.02,1.53,9.96,0.77,8.43,0,0.77,2.3,78.89,0,54.38,0,0,13.79,0,1.53,0
120,3.92,0,17.64,0,1.96,1.96,0,43.12,0,1.96,7.84,0,0,3.92,1.96,7.84,0,13.72,1.96,0,9.8,76.43,0,41.16,0,0,3.92,0,0,0
