stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vasculature
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,10,0,0,1,7,0,0,0,0,3,0,0,0
 24-34,0,0,3.28,0.82,0,0,21.34,0,0.82,0.82,0.82,0,8.21,0,10.67,0,0,30.37,3.28,0.82,4.93,17.24,2.46,0,0,1.64,0.82,2.46,0,0
 36-46,0,0,0,0,0,0,12.09,0,0,8.86,0.81,0,7.25,0,6.45,0,0,25.78,2.42,0.81,1.61,20.14,0,0,0,0.81,0,1.61,0,0
 48-58,0,0,0,0,0,0,12.62,0,0,14.92,1.72,0.57,1.72,0,1.15,0,0,13.77,3.44,0.57,1.72,13.2,1.15,0,0.57,0,0,1.15,0,0
 60-70,0,0,0,0,0,0,42.21,0,0.98,10.8,2.94,2.94,0,0.98,0,0,0,6.87,4.91,0,0.98,7.85,0,0,0,0,0,0,0,0
 72-82,0,1.96,0,0.98,0,0,101.11,0.98,0,20.61,1.96,27.49,3.93,0,1.96,0,0,5.89,4.91,0.98,1.96,19.63,0,0,0.98,0.98,0,0,0.98,0
 84-94,0,2.12,0,1.06,0,0,104.08,0,0,12.74,1.06,50.98,0,3.19,8.5,1.06,1.06,7.43,4.25,0,2.12,14.87,0,0,0,0,0,0,1.06,0
 96-106,0,4.37,0,5.46,1.09,0,59.01,0,0,12.02,4.37,112.56,1.09,6.56,12.02,0,0,1.09,14.21,0,0,44.81,2.19,1.09,1.09,0,0,0,4.37,3.28
108-118,0,2.3,0,3.06,0.77,0.77,54.38,0,0,6.13,3.06,137.87,0.77,3.06,11.49,0,0,3.83,5.36,0,0.77,42.13,0.77,0,0.77,0.77,0,0,5.36,0
120,0,5.88,0,3.92,0,0,45.08,0,0,9.8,3.92,82.31,0,3.92,11.76,1.96,1.96,3.92,3.92,0,1.96,41.16,0,0,1.96,0,0,0,3.92,0
