stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0
 24-34,0.82,2.46,0,0,2.46,0,0.82,0,0,0,0,0,0,0,4.1,0,0,0,80.44,0,1.64,0,0.82,0.82,7.39,0,0,0,0,0
 36-46,0,0,0,0,11.28,0,0,3.22,0,0,0,0,0,0,4.03,0,0,0,161.94,0,0,0,0,0,35.45,0,0,0,0,0
 48-58,0,1.15,0,0,26.4,0.57,0.57,5.16,0.57,0,0,0.57,0.57,0,10.9,0,0,0.57,226.65,0.57,1.15,0,0,0,25.25,0,0,0,0,0.57
 60-70,0,1.96,0,0,27.48,0,0,6.87,0,0,0,0,0,0,27.48,0,0,0.98,385.74,1.96,0,0,0,0,30.43,0,0,0,0,0
 72-82,0,3.93,0.98,0,35.34,0,1.96,10.8,0,1.96,0,0,2.94,0,39.27,0,0,0,337.69,0,1.96,0,0,0,13.74,0,0.98,0,0.98,0
 84-94,0,1.06,0,1.06,37.17,0,1.06,11.68,0,0,1.06,0,0,0,16.99,0,0,1.06,151.87,0,2.12,0,0,0,16.99,0,1.06,0,2.12,0
 96-106,0,6.56,1.09,0,17.49,0,2.19,4.37,0,0,0,0,0,0,22.95,0,0,2.19,142.07,0,1.09,2.19,0,0,3.28,1.09,0,1.09,0,0
108-118,0,3.83,0.77,0,14.55,0,0.77,9.19,0,0,1.53,0.77,0,0.77,13.79,0.77,0.77,0.77,150.13,0,0.77,0.77,0.77,0,2.3,0,0,0,0,0
120,0,1.96,0,0,37.24,0,0,3.92,0,1.96,0,1.96,1.96,0,7.84,0,0,1.96,164.62,0,3.92,0,0,0,3.92,1.96,0,0,0,0
