stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,2.63,0,13.14,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,15.73,0,0,0,0,0,0,0
 14-21,0,1,14,1,0,4,0,0,0,0,0,0,0,0,1,6,0,0,2,35,1,0,0,0,3,2,16,7,1,0
 24-34,0,0.82,4.1,0,0,1.64,0.82,0,0,0.82,2.46,0,0.82,0,0,5.75,0,0,2.46,10.67,0,0,0,0,0,0,2.46,3.28,0.82,0.82
 36-46,0,0,4.83,0.81,0,7.25,2.42,0.81,0.81,0,2.42,0.81,0,0.81,0,12.09,0,0.81,0.81,20.95,0,1.61,0,1.61,0,0.81,0,3.22,0.81,0
 48-58,0,0,1.15,0,0,1.72,0.57,0,0.57,0,1.15,0,0,0,0,0.57,0,0,0.57,3.44,0,0,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,3.93,0,0,6.87,0,0.98,7.85,0,3.93,0.98,0,0,0,5.89,0.98,0,0.98,28.47,0,0,0,0,0,0,0,4.91,5.89,0
 84-94,0,0,0,0,0,3.19,0,0,1.06,0,4.25,1.06,0,0,0,3.19,0,0,0,1.06,0,1.06,0,1.06,0,0,0,0,2.12,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,2.19,0,0,0,0,2.19,0,0,1.09,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0.77,1.53,0,1.53,0,0,0,0,0.77,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
