stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,9.44,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,17,0,0,0,1,0,1,0,0,197,0,5,0,0,0
 24-34,0,0,1.64,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,6.57,28.73,0,0,0,0,0,2.46,0.82,0,221.63,0.82,4.1,0,2.46,0
 36-46,0,0,0.81,0,9.67,0.81,0.81,0,2.42,0,0,0.81,0,0,0,0,0,8.06,0,0,4.83,62.84,0,0.81,0,0,0,7.25,0.81,0,202.22,0,12.09,0,0,0.81
 48-58,0,0,0,0,9.18,0,0,0,2.87,0,0,0.57,0,0,0,0,0,7.46,0,0.57,1.72,35.58,0,0,0,0,0,0,0,0,160.09,0,8.03,0.57,0,1.15
 60-70,0,0,0,0,4.91,6.87,0.98,0,1.96,0,0,0,0,0.98,0,0,0,1.96,0,0,2.94,13.74,0,0,0.98,0.98,0,0,0,0,98.15,0,0,0,0.98,0
 72-82,0,0,0,0,7.85,8.83,0,0,1.96,0,0,0,0,0,0,0,0.98,10.8,0,0,3.93,19.63,0,0,0,0.98,0.98,1.96,0,0,60.86,0,0,0,1.96,0
 84-94,0,0,1.06,1.06,1.06,9.56,0,0,3.19,0,0,0,0,0,0,1.06,1.06,5.31,0,0,3.19,11.68,0,0,0,0,0,3.19,0,0,123.2,0,1.06,0,0,2.12
 96-106,0,0,1.09,4.37,15.3,15.3,0,1.09,9.84,0,1.09,1.09,0,0,1.09,2.19,0,9.84,0,1.09,4.37,14.21,0,1.09,1.09,1.09,0,5.46,0,0,121.31,0,3.28,1.09,1.09,0
108-118,0,0,0.77,0.77,9.96,22.21,0,0.77,6.89,0.77,0,2.3,0.77,0,0.77,1.53,0,8.43,0.77,0,0.77,15.32,0,0,0.77,0,0,8.43,0,0.77,106.47,0,0.77,0,0.77,2.3
120,0,1.96,5.88,5.88,5.88,5.88,1.96,0,0,3.92,0,7.84,0,0,0,0,0,7.84,0,0,3.92,9.8,0,0,0,0,1.96,0,1.96,0,35.28,0,0,0,1.96,0
