stage,blastomeres,endoderm,epidermis,eye,gut,immune,liver,mesenchyme,neural,pericytes,pronephros,spinal.cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,0
 36-46,0,0,0,0,0,0,0,1.61,0,0,1.61,0
 48-58,0,0,0,0,0,1.15,0,0,0.57,0,2.3,0.57
 60-70,0,0,0,2.94,0,0.98,0,0,0.98,0,0.98,0
 72-82,0,0,0,4.91,0,1.96,0,0,0,0,3.93,0
 84-94,0,0,0,3.19,1.06,10.62,0,0,0,1.06,7.43,0
 96-106,0,2.19,1.09,4.37,1.09,14.21,1.09,0,2.19,0,6.56,0
108-118,0,0.77,0,3.83,3.83,2.3,0.77,0,2.3,0,9.19,0
120,0,1.96,0,3.92,1.96,1.96,0,1.96,0,0,3.92,0
