stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,lateral.line,mesenchyme,mucous,neural,notochord,olfactory,paraxial.mesoderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,xanthophores
 14-21,0,5,0,0,0,1,0,0,0,0,16,1,1,1,4,1,3,2,0
 24-34,0.82,0,0,0,0.82,0,0,0.82,0,0,4.1,0,0,0,0,0,0,1.64,0
 36-46,0,0,0,1.61,0,0,0,0,0.81,0.81,2.42,0,0,0,0,0,0,0.81,0
 48-58,0,0,0.57,0.57,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0
 60-70,0,0.98,0,0,0,0.98,0,0,0,0,2.94,0,0.98,0,0,0,0,0.98,0
 72-82,0,0,0,4.91,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,0,0,1.06,1.06,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,0,0,0,0,0,1.09,0,0,0,0,0,0,1.09,0
108-118,0,0.77,0,1.53,0,0.77,0,0,0.77,0,3.06,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
