stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,15.73,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,2,2,0,3,8,0,0,0,0,0
 24-34,0,0,2.46,0,0,3.28,0,0,0,0,0,0,0,0,4.1,2.46,23.8,0,0,0.82,0,0,1.64,0,0,1.64,5.75,0,0,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0.81,0,0,0,0,0,2.42,0.81,36.26,1.61,0,0.81,0,0,0.81,0,1.61,0,3.22,0,0,0,0,0.81
 48-58,0,0,0,0,0,9.18,0.57,0.57,1.72,0,0,0.57,0,0,10.9,2.3,63.12,0,1.15,1.15,0,0,0,0,2.3,0,6.89,0,0,0.57,0,0
 60-70,0,0,0,0,0,26.5,0,0.98,0,0,0,0,0,0,14.72,0.98,107.97,0,0,0,0,0.98,0.98,0,3.93,0,5.89,0,0,0,0,0
 72-82,0,0,2.94,0,0,26.5,0,0,2.94,0,0,0,0.98,0,36.32,0.98,126.63,0,0,1.96,0,0.98,0.98,0,1.96,0,11.78,0.98,1.96,0,0,0
 84-94,0,0,0,0,0,27.61,1.06,0,3.19,0,0,0,0,0,20.18,0,62.66,0,1.06,0,0,0,1.06,0,3.19,0,8.5,0,0,0,0,0
 96-106,0,0,1.09,1.09,0,27.32,1.09,0,3.28,0,0,0,0,0,26.23,1.09,60.11,0,0,1.09,0,0,0,0,2.19,0,4.37,0,1.09,0,0,1.09
108-118,0,0,1.53,0.77,0.77,9.96,0.77,0,1.53,0,0.77,0,1.53,0,21.45,0,61.28,0.77,0,0.77,0,0,1.53,0,3.06,0,0.77,0,0.77,1.53,0.77,0
120,0,0,0,0,0,9.8,0,0,1.96,0,0,0,0,1.96,23.52,0,64.67,0,0,1.96,0,0,1.96,0,5.88,0,0,0,0,0,0,0
