stage,axial,blastomeres,endoderm,epidermis,eye,glial,immune,liver,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,25.18,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,1,1,0,0,0,2,0,10,0,0,0,4,0,2,4,0,0,0
 24-34,0,0,0,0,1.64,0.82,0,0,0.82,0,0,4.1,0,0,0,0,0,0,1.64,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0.57,1.15,0,0.57,0,0.57,0,5.16,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,0.98,0,0,0,0,0.98,1.96,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,2.12,0,1.06,0,0,1.06,0,2.12,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,1.09,1.09,0,0,0,1.09,0,2.19,1.09,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0.77,0,0,0,1.53,0.77,3.06,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,3.92,1.96,1.96,0,0,0,0,0,0,0,0,0,0
