stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,12.26,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,76.23,0,0,0,18.4,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,154.2,3.15,0,0,22.03,3.15,3.15,0,3.15,0,0,0
 14-21,0,0,0,2,93,2,1,0,0,0,1,1,1,0,9,0,1,6,0,0,1,1,4,0,1,0,1,0,0
 24-34,0.82,0,1.64,5.75,65.67,0,3.28,1.64,0,4.1,0.82,0.82,0,1.64,29.55,0,9.03,31.19,0.82,0.82,3.28,0,4.1,0,0.82,0.82,0,0,1.64
 36-46,0,0,0,0,9.67,0,0,1.61,0,0,0,0,0,0,4.83,0,0,18.53,0,0,2.42,0,2.42,0,0,0,0,2.42,0.81
 48-58,0,0,0,0,1.15,0,0,0,0.57,0,0,0,0,0,0,0.57,0,12.05,0,0,0,0,0.57,0,0,0,0,5.74,1.15
 60-70,0,0,0,0,0.98,0,1.96,0,1.96,2.94,0,0,0,1.96,0.98,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.96,0,0.98,0,0,0,0,0,0,0,0,7.85,0,0,0.98,0,0,0,0,0,0,0,0.98
 84-94,0,0,1.06,0,1.06,0,3.19,0,2.12,0,0,1.06,0,0,0,1.06,1.06,4.25,0,0,1.06,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0,0.77,0,0.77,1.53,0,0,0,0,1.53,0,0.77,3.83,0,0,0.77,0,0,0,0,0,0,0.77,0
120,0,0,1.96,0,5.88,0,0,1.96,1.96,1.96,0,0,0,0,0,0,0,5.88,0,0,3.92,0,0,0,0,0,0,0,0
