stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,118.6,2082.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,104.2,2672.52,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,12.26,0,55.17,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,47.32,42.06,0,0,0,191.9,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,1343.27,15.77,0,0,349.62,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,40.91,22.03,0,3.15,0,78.67,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,1076.26,12.59,0,0,412.25,0,0,3.15,0,72.38,0,3.15,0,0,0,0,0
 14-21,0,0,16,72,19,0,66,0,1,0,19,3,0,0,0,2,0,0,0,0,51,0,0,31,742,7,2,16,12,0,1,0,32,4,45,270,0,0,3,0,1
 24-34,0,0,2.46,18.88,2.46,0,336.55,0,2.46,0.82,26.27,1.64,0,4.1,0,2.46,1.64,4.1,3.28,2.46,115.74,0.82,1.64,31.19,1516.94,0,9.85,41.86,0,0,11.49,0,0,4.93,13.95,348.04,0,0,21.34,0,0.82
 36-46,0,0,0,3.22,0,0,801.64,0,0,0.81,76.54,3.22,0,4.03,0,0.81,0.81,3.22,0,0.81,79.76,0,6.45,20.95,1438.93,0,7.25,16.11,0,0.81,12.09,0,0,1.61,0,271.51,0,0,6.45,0,0.81
 48-58,0.57,0,0,10.33,1.72,0,750.54,0.57,0,4.02,148.04,1.15,0,2.87,0.57,2.3,1.15,1.72,0.57,0,97.55,0.57,3.44,15.49,935.88,0,3.44,9.18,0,0,2.3,0,0,1.15,0,197.39,0,0.57,6.31,0,1.15
 60-70,0,0,0,3.93,0,0,364.14,0,0,3.93,148.21,8.83,0,2.94,0,0.98,0.98,0.98,0.98,0.98,110.91,0,6.87,11.78,594.8,0,0,13.74,0,2.94,6.87,0,0,2.94,0,84.41,0,0.98,6.87,0,1.96
 72-82,0,0,0,11.78,7.85,0,187.5,0,0,4.91,132.52,0.98,0,5.89,2.94,2.94,1.96,0.98,0,0,172.77,0,7.85,22.58,483.96,0,1.96,9.82,0,5.89,4.91,0,0,0,0,36.32,0,2.94,15.71,2.94,5.89
 84-94,0,0,1.06,26.55,9.56,0,140.19,0,2.12,3.19,110.45,5.31,0,3.19,15.93,3.19,2.12,6.37,0,2.12,124.26,0,10.62,15.93,322.86,0,1.06,20.18,0,2.12,27.61,0,0,1.06,0,44.61,0,1.06,13.81,1.06,3.19
 96-106,0,0,0,19.67,4.37,0,113.66,1.09,3.28,1.09,90.71,4.37,0,4.37,13.11,1.09,4.37,6.56,1.09,2.19,132.23,0,3.28,8.74,241.52,0,4.37,22.95,0,3.28,17.49,0,0,2.19,0,16.39,0,4.37,12.02,1.09,6.56
108-118,0,0,0,19.92,14.55,2.3,103.41,0.77,0.77,4.6,72,5.36,0,1.53,17.62,6.13,1.53,3.83,1.53,3.06,110.3,2.3,3.83,16.09,299.49,0.77,5.36,16.09,0,4.6,13.02,0,0,2.3,0,8.43,0.77,3.83,19.92,1.53,4.6
120,0,0,0,27.44,25.48,1.96,125.43,0,1.96,7.84,92.11,5.88,0,0,17.64,3.92,5.88,5.88,5.88,0,90.15,0,7.84,13.72,292.01,0,0,15.68,0,3.92,21.56,0,0,1.96,0,5.88,0,3.92,25.48,0,0
