stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,0,0.82,0,5.75,0,0.82,0.82,0,2.46,0,0,0.82,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0,5.64,0,0,0.81,0,1.61,0,0,2.42,0,0
 48-58,0,0,0,1.15,0,2.87,0,0,0,0,0,0,0.57,0,7.46,0,0.57,0,0,1.15,0,0,1.15,0,1.15
 60-70,0,0,0,0,0,0.98,0,0.98,0,0,0,0.98,0.98,0.98,9.82,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,0.98,0.98,0,0,9.82,0,1.96,0,0,3.93,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,2.12,1.06,0,0,0,3.19,0,2.12,1.06,0,3.19,0,0,1.06,1.06,0
 96-106,0,0,0,4.37,1.09,0,0,1.09,1.09,0,1.09,2.19,0,0,4.37,0,2.19,0,0,5.46,0,0,0,0,0
108-118,0,0,0,1.53,0,0,0.77,0,3.06,2.3,1.53,1.53,0.77,1.53,2.3,0,0.77,1.53,0,2.3,0,0,0,0.77,1.53
120,0,0,0,1.96,0,1.96,0,0,0,1.96,0,1.96,0,0,3.92,0,0,0,0,0,0,0,0,0,0
