stage,epidermis,erythrocytes,eye,fin.epithelia,gut,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0.81,0,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,3.44,0,0.57,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,2.94,0,0,0,0,0,0,0,0,0,0
 72-82,1.96,0,11.78,0,0,0,0.98,0,0,0.98,0,0,0
 84-94,5.31,0,8.5,1.06,0,1.06,0,0,0,0,0,0,2.12
 96-106,1.09,1.09,28.41,0,2.19,0,0,1.09,0,5.46,0,0,5.46
108-118,2.3,0,14.55,0,0.77,0,0,1.53,0,0.77,0,0,0.77
120,1.96,0,35.28,0,0,0,0,0,1.96,0,0,0,0
