stage,blastomeres,erythrocytes,eye,glial,immune,neural,notochord,paraxial.mesoderm,pronephros,spinal.cord
  5-6,24.52,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,10.51,5.26,7.89,0,0
 10-12,0,3.15,3.15,0,0,15.73,0,12.59,3.15,0
 14-21,0,0,0,0,0,2,0,0,0,2
 24-34,0,0,3.28,0,0,1.64,0,0,0,0.82
 36-46,0,0,4.83,0,0,7.25,0,0,0,0.81
 48-58,0,0,3.44,0,0,17.79,0,0,0,0
 60-70,0,0,19.63,0.98,0,15.7,0,0,0,0.98
 72-82,0,0,28.47,1.96,0,28.47,0,0,0,0.98
 84-94,0,0,45.67,2.12,0,25.49,0,0,0,0
 96-106,0,0,29.51,0,0,13.11,0,0,0,0
108-118,0,0,18.38,2.3,0.77,13.79,0,0,0,0
120,0,0,25.48,0,0,11.76,0,0,0,0
