stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,658.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,49.04,404.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,13.14,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,2.46,2.46,0.82,0,0,0,0,4.1,0,0,0,0.82,2.46,0,2.46,0,0.82
 36-46,0,0,0,6.45,0,0,2.42,0.81,0.81,1.61,0.81,0,1.61,0,0,0,0,0,1.61,12.09,0.81,0,0,2.42,0,0.81,0.81,0,0,4.03,0,0,0,0,3.22,0,1.61,0,0
 48-58,0,0,0,2.3,0,0,9.75,0.57,6.31,5.16,0.57,0,1.72,0,0,0.57,0.57,0.57,1.72,30.41,0,0,4.02,7.46,0,0.57,0.57,0,0,6.31,0,0,0,0,1.72,0,1.72,0,0
 60-70,0,0,0,3.93,0,0,15.7,4.91,0,26.5,0.98,0,0.98,0.98,0,0,0,0,0.98,68.71,0,3.93,0.98,12.76,0,0,0.98,0,0,11.78,0,0.98,0,0,2.94,0,0.98,0,1.96
 72-82,0,0,0,6.87,0,0,14.72,0.98,2.94,45.16,0.98,0,0,0,0,0.98,0.98,0.98,1.96,91.29,0,2.94,9.82,18.65,0,0,2.94,0,0.98,5.89,0,0,0,0,3.93,3.93,2.94,2.94,0.98
 84-94,0,0,0,10.62,0,1.06,15.93,2.12,2.12,38.23,2.12,0,1.06,0,1.06,4.25,1.06,0,5.31,53.1,0,4.25,7.43,9.56,0,0,0,0,1.06,27.61,0,3.19,0,0,6.37,0,4.25,4.25,1.06
 96-106,0,0,0,10.93,0,0,16.39,3.28,1.09,42.62,2.19,0,0,1.09,1.09,3.28,2.19,0,6.56,53.55,0,3.28,8.74,19.67,2.19,3.28,3.28,0,0,12.02,0,4.37,0,0,4.37,4.37,3.28,2.19,0
108-118,0,0,0,9.96,0,1.53,9.19,5.36,2.3,36.77,3.83,0,0,0,1.53,3.83,2.3,0,11.49,56.68,0.77,4.6,6.13,13.79,1.53,0.77,3.06,0,3.06,7.66,0,3.83,0.77,0,5.36,0.77,7.66,0.77,4.6
120,0,0,1.96,3.92,1.96,0,5.88,0,7.84,27.44,15.68,0,0,0,0,1.96,3.92,1.96,3.92,45.08,1.96,1.96,1.96,11.76,1.96,0,1.96,0,0,3.92,0,3.92,0,0,3.92,0,1.96,0,0
