stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,15,2,0,0,1,0,1,3,1,4,10,0,1,0,0
 24-34,0,0.82,10.67,0,0,4.1,0.82,0,0,0,0,0.82,0,0,0,0,0,6.57,0,0,4.93,47.61,3.28,0,0.82,0,0,1.64,0,0.82,0.82,17.24,0,0.82,0,0
 36-46,0,0,0.81,0,0,10.47,0.81,0,3.22,0,0,0.81,0.81,0,0,0,0,11.28,0,0,1.61,34.64,3.22,0.81,0,0,0,3.22,0,0,0,11.28,0,1.61,0,0
 48-58,0,0,2.87,0,0,17.21,0.57,0.57,8.03,0.57,0,2.3,0,0,0,0,0,17.21,0,0,0.57,52.79,2.87,1.72,0,0,0,2.87,0,0,0,18.94,0,0.57,0,0.57
 60-70,0,0,0.98,0,0,16.69,0,0.98,7.85,0.98,0,0,1.96,0.98,0,0,1.96,18.65,0,0,0.98,37.3,0.98,0.98,2.94,0,1.96,4.91,0,0,0,6.87,0,1.96,0,0.98
 72-82,0,0.98,1.96,1.96,0,26.5,0,0.98,11.78,0.98,1.96,0,0.98,0,0.98,1.96,0,26.5,0,0.98,4.91,48.1,0,0.98,0.98,0,0,5.89,0,0,0,5.89,0.98,1.96,0.98,0.98
 84-94,0,0,3.19,0,0,18.05,0,1.06,3.19,1.06,0,0,1.06,0,1.06,0,0,20.18,0,2.12,1.06,20.18,1.06,0,4.25,0,0,2.12,0,1.06,0,3.19,1.06,2.12,0,0
 96-106,0,0,5.46,1.09,2.19,22.95,0,0,5.46,2.19,0,1.09,3.28,1.09,1.09,1.09,1.09,10.93,2.19,1.09,0,21.86,1.09,2.19,1.09,0,0,6.56,0,0,0,0,0,1.09,3.28,1.09
108-118,0,0,8.43,1.53,0.77,11.49,0.77,0,3.06,0.77,0,0.77,2.3,0.77,1.53,0,0,14.55,0.77,0,0,26.81,0,1.53,0.77,0,0.77,5.36,0,0,0,0,0.77,1.53,0.77,0
120,0,0,5.88,0,0,5.88,1.96,0,11.76,3.92,0,0,1.96,0,0,0,0,21.56,0,0,0,25.48,0,0,1.96,1.96,0,1.96,0,0,0,0,0,1.96,3.92,0
