stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,2,1,0,0,0,18,0,241,322,5,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,3.28,4.93,0,0,0,0,0,0,0,0,0,1.64,11.49,50.07,4.93,0,0,0,1.64,0,0,50.07,79.62,9.03,0,0,0,0,0
 36-46,0,0,0,0,0,0,9.67,15.31,0,0,4.83,0,0,0,0.81,0,0,8.06,18.53,60.43,2.42,0,0,0,0,0.81,0,28.2,4.03,9.67,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,12.62,14.92,0,4.02,9.18,0,0,0,0,0,0,10.33,35,54.51,1.15,0.57,0,0,0.57,0,0,11.48,0,14.92,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,36.32,19.63,0,2.94,40.24,0,0,0,0,0,0,23.56,28.46,120.73,0.98,2.94,0,0,0,0,0,9.82,0,12.76,0,0.98,0,0,0
 72-82,0,0,0,0,0.98,0,81.48,17.67,0,0.98,105.04,0,0.98,0,0,0,0,59.88,31.41,174.74,0,2.94,0,0,0.98,0,0,4.91,0,18.65,0,0,0.98,0,0.98
 84-94,0,0,0,4.25,1.06,0,42.48,16.99,0,1.06,72.22,0,0,0,0,1.06,0,60.54,23.36,116.82,0,7.43,0,0,0,0,0,6.37,0,4.25,1.06,2.12,0,1.06,0
 96-106,0,0,1.09,5.46,1.09,0,65.57,17.49,1.09,1.09,110.38,0,0,2.19,2.19,2.19,0,49.18,36.06,139.88,1.09,10.93,0,0,0,0,0,12.02,0,2.19,0,0,0,0,1.09
108-118,0,0,0.77,4.6,0.77,0.77,58.21,18.38,0,1.53,127.92,0,0.77,2.3,0,1.53,0.77,36.77,31.4,180,0,8.43,0,0.77,3.06,0,0.77,6.89,0,2.3,1.53,0,0.77,0,0
120,1.96,0,0,5.88,0,0,48.99,7.84,0,0,92.11,1.96,0,0,0,1.96,0,25.48,13.72,152.86,0,11.76,0,0,1.96,0,0,1.96,0,3.92,1.96,0,0,0,0
