stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,513.94,10845.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.02,0,0,0,0,0,0,0,0,0,0
  5-6,484.24,8918.62,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,275.83,36.78,0,0,122.59,0,73.56,0,0,0,0,0,0,0,0,0,0
  7-9,126.18,304.93,0,252.36,0,0,0,2273.84,0,0,0,0,0,60.46,0,0,0,0,0,0,0,0,0,0,7899.28,328.59,0,0,3998.27,0,10.51,34.17,0,5.26,0,0,0,0,0,0,0
 10-12,3.15,138.47,0,166.79,0,0,0,1570.34,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,5041.44,138.47,0,0,3030.53,0,9.44,3.15,3.15,50.35,0,6.29,3.15,0,0,0,0
 14-21,1,0,0,65,693,26,0,40,0,4,0,14,14,7,0,3,0,2,1,0,132,5,0,258,312,43,0,0,422,0,6,6,680,23,3,645,281,0,5,0,0
 24-34,0,0,1.64,4.1,423.56,2.46,0,79.62,0,14.78,4.1,9.85,9.85,0.82,0,1.64,0,7.39,0,0.82,139.55,6.57,0,142.83,194.54,27.91,2.46,1.64,0,0,28.73,0,0.82,1.64,0,78.8,123.13,0,8.21,0,0
 36-46,0,0,0,0,236.06,0,0,75.73,0,19.34,8.86,14.5,1.61,0,0,0.81,1.61,7.25,0,0,150.66,4.83,0,50.76,89.43,23.36,0,1.61,0,0.81,12.89,0.81,0,0,0.81,0,69.29,0,1.61,0,0
 48-58,0,0,0.57,0,215.18,0,0,79.76,0,28.12,26.4,30.41,4.02,0,0,0,2.3,6.31,1.15,1.72,138.29,3.44,2.87,36.15,76.32,21.23,0,1.72,0,0,6.31,0,0,0.57,0.57,0,59.1,0.57,2.87,0.57,1.15
 60-70,0,0,0,0,132.51,0,0,31.41,1.96,24.54,7.85,70.67,8.83,0,0.98,1.96,6.87,4.91,1.96,0,70.67,0,0.98,10.8,51.04,2.94,0.98,1.96,0,0,0.98,0,0,0,0,0,36.32,0,1.96,1.96,0
 72-82,0,0,0,0,108.96,0,0.98,58.9,2.94,4.91,5.89,119.76,4.91,0,0.98,0,0,2.94,0,0,94.24,0.98,0,19.63,76.57,3.93,0,5.89,0,0,4.91,0,0,0,0,0,11.78,2.94,2.94,6.87,0
 84-94,0,0,0,0,150.81,2.12,0,56.29,0,11.68,6.37,79.65,21.24,0,0,0,1.06,4.25,0,0,69.03,1.06,2.12,12.74,36.11,3.19,0,4.25,0,0,8.5,0,0,0,0,0,11.68,1.06,1.06,3.19,0
 96-106,0,0,0,0,248.08,4.37,1.09,61.2,0,59.01,16.39,85.24,27.32,0,3.28,0,1.09,4.37,1.09,1.09,107.1,1.09,0,30.6,60.11,3.28,3.28,3.28,0,0,13.11,0,0,0,0,0,3.28,3.28,6.56,1.09,0
108-118,0,0,0,0,121.02,0.77,0.77,39.83,0,9.96,4.6,66.64,16.85,0,3.06,0,0,2.3,0,0.77,45.19,2.3,1.53,6.89,37.53,1.53,3.83,0.77,0,0,3.06,0,0,0.77,0,0,3.06,0.77,2.3,4.6,0
120,0,0,0,0,78.39,0,0,50.95,0,9.8,5.88,41.16,9.8,0,1.96,0,0,1.96,0,0,39.2,0,0,7.84,33.32,1.96,5.88,1.96,0,0,0,0,0,0,0,0,3.92,0,1.96,0,0
