stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,4,31,4,0,12,0,0,2,3,0,1,0,1,0,0,0,11,0,0,8,178,1,2,4,2,0,4,20,1,0,27,56,0,0,1,0,0
 24-34,0,8.21,0.82,0,32.01,0.82,0.82,10.67,0,0.82,0,0.82,0,0,0.82,0,27.09,0.82,0,12.31,208.5,1.64,2.46,3.28,0,0,8.21,0,0,0,3.28,56.64,0,0,3.28,0,0.82
 36-46,0,3.22,0,0,36.26,0,1.61,10.47,0,0,0,0,0,0,0.81,0,25.78,0,2.42,7.25,161.94,1.61,1.61,0,0,0,8.06,0,0.81,0.81,0,45.12,0,0,2.42,0,0.81
 48-58,0,2.87,0,0,40.17,0.57,0.57,13.77,0,0,0,0,0.57,0,0,0,30.99,0,0.57,4.59,80.33,1.15,1.15,0,0,0,5.16,0,0,0,0,22.38,0,0,1.72,0,0.57
 60-70,0,0.98,0,0,53.98,0.98,0.98,30.43,0,0,0,0.98,0.98,0,1.96,0,47.11,0,1.96,0.98,97.17,0.98,0.98,0,0,0,6.87,0,0,0,0,18.65,0,0,2.94,0,0
 72-82,0,6.87,0,0,37.3,0,0.98,26.5,0,0,0,0.98,0,0,1.96,0.98,53.99,0.98,2.94,13.74,71.66,0,1.96,1.96,0,0,8.83,0,0,0,0,5.89,0,0,3.93,0.98,0
 84-94,0,8.5,1.06,1.06,22.3,1.06,2.12,11.68,1.06,0,0,1.06,0,0,1.06,0,39.3,1.06,2.12,4.25,31.86,2.12,1.06,0,0,0,8.5,0,0,0,0,5.31,0,1.06,4.25,0,3.19
 96-106,0,12.02,1.09,0,14.21,2.19,0,16.39,2.19,0,1.09,2.19,3.28,2.19,2.19,0,36.06,1.09,2.19,4.37,26.23,1.09,1.09,4.37,0,2.19,18.58,0,0,0,0,4.37,1.09,1.09,6.56,2.19,0
108-118,0,14.55,0.77,0.77,19.92,2.3,3.83,19.15,1.53,0,0.77,3.83,1.53,0,1.53,2.3,42.13,0.77,0.77,6.13,63.57,0,3.83,3.83,0,0,11.49,0,0,0,0,1.53,0.77,0,0.77,0,2.3
120,0,17.64,0,0,13.72,0,0,11.76,0,0,0,1.96,0,0,0,0,25.48,0,0,1.96,50.95,3.92,0,0,0,0,0,0,1.96,1.96,0,1.96,0,0,3.92,0,1.96
