stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,10,169,42,0,45,0,1,0,17,6,5,6,0,6,0,0,6,1,66,0,0,52,622,43,6,8,17,0,117,1,113,10,16,151,233,0,0,8,0,0
 24-34,2.46,13.13,169.92,22.16,0,127.23,0.82,11.49,4.93,34.48,7.39,1.64,11.49,4.1,13.95,0,5.75,8.21,4.1,157.6,4.93,0,101.79,1285.46,36.12,11.49,20.52,0.82,0,423.56,0,2.46,22.16,19.7,57.46,369.39,0,0,73.88,0,6.57
 36-46,0.81,1.61,82.98,5.64,0,154.69,5.64,14.5,4.83,45.12,0.81,0,6.45,1.61,5.64,0.81,4.03,4.03,5.64,186.11,7.25,2.42,55.59,927.33,31.42,18.53,4.03,0,1.61,409.28,1.61,0.81,16.92,9.67,0.81,302.93,0,1.61,45.92,0,4.83
 48-58,0,0.57,26.4,1.72,0,102.71,8.03,9.18,4.02,35,0.57,2.3,5.74,1.15,2.3,0.57,1.15,0,5.16,112.47,1.72,4.02,20.66,324.77,16.07,5.16,4.59,0,0,140.58,0,0,3.44,6.89,0,89.51,0,1.15,17.79,0,6.31
 60-70,0,0,35.33,1.96,0,137.41,5.89,16.69,4.91,42.21,1.96,3.93,4.91,1.96,3.93,2.94,1.96,0.98,0.98,124.65,5.89,8.83,31.41,325.87,21.59,4.91,6.87,0,0,214.95,0,0,5.89,10.8,0,78.52,0,3.93,14.72,0,4.91
 72-82,0,0,43.19,2.94,0.98,74.61,1.96,10.8,4.91,23.56,1.96,2.94,1.96,1.96,1.96,0,2.94,0,4.91,88.35,1.96,1.96,11.78,124.67,14.72,1.96,3.93,0,0,132.52,0,0,5.89,5.89,0,13.74,0.98,0,18.65,1.96,2.94
 84-94,0,0,59.47,4.25,0,36.11,1.06,11.68,4.25,22.3,1.06,2.12,1.06,6.37,6.37,1.06,0,2.12,0,56.29,2.12,5.31,6.37,47.79,15.93,3.19,7.43,0,1.06,398.26,0,0,5.31,6.37,0,10.62,2.12,2.12,10.62,2.12,2.12
 96-106,1.09,0,22.95,1.09,0,19.67,1.09,7.65,2.19,6.56,0,0,0,3.28,5.46,4.37,1.09,3.28,1.09,40.44,2.19,2.19,3.28,13.11,5.46,1.09,5.46,0,0,231.68,0,0,4.37,9.84,0,7.65,1.09,1.09,8.74,1.09,0
108-118,0.77,0.77,38.3,0.77,0.77,9.19,1.53,11.49,0,7.66,1.53,0,0.77,2.3,7.66,0.77,0,0.77,0.77,21.45,0.77,0.77,4.6,23.74,9.19,0.77,3.06,0,0,134.04,0,0,3.06,6.89,0,4.6,0,0,8.43,0.77,0
120,0,0,74.47,0,0,5.88,0,17.64,0,13.72,0,0,1.96,1.96,5.88,0,0,1.96,0,41.16,1.96,1.96,1.96,31.36,1.96,1.96,3.92,0,1.96,186.18,0,1.96,9.8,5.88,0,3.92,0,1.96,7.84,0,0
