stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,147.11,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,1,0,0,0,1,0,4,0,1,0,3,0,0,0
 24-34,0,0,0,0.82,0,0,1.64,0,0,0,0,0,0.82,0,0.82,0,0.82,0,4.1,0,3.28,19.7,0.82,0,1.64,0,2.46,0,0,1.64,0,1.64,3.28,0.82,0,0
 36-46,0,0,0,0,0,0,9.67,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0.81,13.7,0,0,0,0,2.42,0,0,0,0.81,0,4.03,0.81,0,0
 48-58,0,0,0.57,0,0.57,0,5.16,0,0.57,0,0,0,0,0,0,0,0,0.57,5.16,0,0.57,5.74,0.57,0.57,0,0,0,0,0,0,0,0,2.3,0.57,0,0.57
 60-70,0,0,0.98,0,2.94,0,7.85,0.98,0,0.98,0,0.98,0.98,0.98,0,0,0,0,5.89,0,0,11.78,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0.98,2.94,21.6,0,0,7.85,0,0.98,0,0.98,0,0.98,0.98,0,4.91,0.98,0,4.91,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,1.06,0,3.19,1.06,14.87,0,0,2.12,1.06,1.06,0,0,2.12,1.06,1.06,0,6.37,0,0,5.31,0,0,1.06,0,2.12,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,3.28,2.19,13.11,1.09,0,2.19,0,0,1.09,2.19,1.09,0,1.09,0,5.46,1.09,1.09,6.56,0,0,1.09,0,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,4.6,0.77,11.49,1.53,0,3.83,0.77,0,0,1.53,0.77,0,0,0,8.43,0,0.77,10.72,0,0.77,0,0,0.77,0,0,0,0,0,0,1.53,0,0
120,0,0,0,0,3.92,0,13.72,0,0,5.88,0,0,0,0,0,0,0,0,9.8,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
