stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,632.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,18.39,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,1,0,0,0,9,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,96.04,0,4.1,0,0,1.64,0.82,0,0.82,74.7,0,0,0.82,0,0
 36-46,0,0,0.81,0,0,0,12.09,0,0,0,2.42,0,0,0,0,0,0,0.81,1.61,0.81,0,1.61,361.75,0,2.42,0,0,0,0,0,0,123.27,0,0,0.81,0,0.81
 48-58,0,0,0,2.3,0,0,79.19,0.57,1.15,1.72,6.89,0,0,0.57,0,0,0.57,0,8.03,0.57,0,2.3,589.87,1.15,1.72,0,0,2.3,0,0,0,130.25,0,0,0.57,0,1.15
 60-70,0,0,0.98,1.96,0.98,0,170.78,0.98,0.98,0,19.63,0,0.98,0.98,0.98,0,0,0.98,17.67,1.96,0,0.98,1178.81,1.96,4.91,0,0,0.98,0,0,0,249.31,0,0,0,0,2.94
 72-82,0,0,2.94,9.82,1.96,0,225.78,0,0.98,2.94,40.25,3.93,0,1.96,0,0,0,0,36.32,0,0,3.93,1213.33,0.98,4.91,0.98,0,1.96,0,0.98,0,208.11,0,1.96,0.98,0.98,1.96
 84-94,0,0,0,9.56,1.06,0,151.87,0,0,1.06,23.36,2.12,1.06,1.06,1.06,1.06,0,1.06,21.24,1.06,1.06,1.06,604.3,0,6.37,1.06,0,5.31,0,0,0,113.64,1.06,0,0,0,1.06
 96-106,0,0,0,8.74,2.19,0,143.16,0,1.09,0,29.51,0,0,1.09,1.09,1.09,1.09,0,20.76,2.19,2.19,2.19,532.22,0,7.65,3.28,0,5.46,0,0,0,56.83,0,1.09,0,0,0
108-118,0.77,0,0,6.13,0,0.77,112.6,0,0.77,1.53,29.11,0.77,0,0.77,0,0.77,0,0,16.85,0,0.77,0.77,602.81,0,9.96,2.3,1.53,0.77,0,0,0,39.06,0,0.77,3.06,0,0
120,0,0,0,9.8,0,0,135.23,0,5.88,0,29.4,0,0,3.92,0,0,0,0,21.56,1.96,0,3.92,805.47,1.96,7.84,1.96,0,1.96,1.96,0,0,43.12,0,0,1.96,0,0
