stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,6,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,17,0,0,0,0,1,0,6,8,0,0,0,0
 24-34,0,1.64,0,0,0.82,0.82,0,0.82,0,0,0,0,0,0,0,0,3.28,0,1.64,24.63,0,0.82,0,1.64,0,0,0.82,4.1,0,0,0,0
 36-46,0,0.81,0,0,6.45,0,0,2.42,0,0,0,0,0,0,0,0,2.42,0,0.81,29,0,0,0,0.81,0,0,0.81,5.64,0,0.81,0,0
 48-58,0,0.57,0,0,8.03,0.57,1.15,1.15,0,0.57,0.57,0.57,0,0,0,0,6.31,0.57,0,30.41,0,0.57,0,1.15,0,0.57,0,5.74,0,0.57,0,0
 60-70,0,0.98,0,0,24.54,0,0,0.98,0,0,0,0,0,0,0,0,4.91,0,0.98,30.43,0,0.98,1.96,0,0,0,0,2.94,0.98,0.98,0,0.98
 72-82,0,1.96,0.98,0.98,16.69,0,0,5.89,0,0,0,0.98,0,0,0,0,9.82,1.96,0,19.63,0,0.98,0,0,0,0,0,1.96,0,2.94,0,0
 84-94,0,1.06,0,0,6.37,0,0,4.25,0,0,1.06,0,0,0,0,0,6.37,0,0,9.56,0,1.06,1.06,5.31,0,0,0,1.06,0,0,0,0
 96-106,0,1.09,0,0,7.65,0,0,2.19,2.19,0,3.28,0,1.09,2.19,0,0,6.56,1.09,0,9.84,1.09,1.09,1.09,2.19,0,0,0,1.09,0,0,0,0
108-118,0,1.53,1.53,0.77,4.6,0.77,0,3.06,0,0,0.77,0,0.77,0,0.77,0.77,9.96,0.77,0,19.15,0,0,0,3.06,0,0,0,0.77,0,2.3,0,0.77
120,0,1.96,0,0,3.92,0,0,1.96,1.96,0,1.96,0,1.96,0,0,0,3.92,0,0,17.64,0,0,0,7.84,0,0,0,1.96,0,0,1.96,0
