stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.38,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,128.72,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,13.14,0,23.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.97,3.15,0,0,141.61,0,3.15,3.15,0,18.88,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,57,6,0,0,0,0,0,1,6,0,0,2,0,0,0,3,1,0,0,6,7,0,0,15,0,20,0,34,1,0,8,12,0,0,0,0,0
 24-34,0,0,0,0.82,1.64,3.28,0,1.64,0,0,0,0,4.93,0,0,0,0,0,0.82,3.28,0,0,0.82,11.49,0.82,0,0,0,0,0,0,0,0,0.82,3.28,4.93,0,0,1.64,0,0.82
 36-46,0,0,0,0.81,0,0,0,3.22,0,0.81,0,1.61,20.95,0.81,0,0,0,0,0.81,4.03,0,0,0.81,8.06,0,2.42,0,0,0,0,0,0,0,0,0,2.42,0,0,0.81,0,0.81
 48-58,0,0,0,0.57,1.15,0,0,2.3,0.57,0,0.57,1.15,48.2,0,0,0,0.57,0,2.3,5.16,0,0,0.57,8.03,0,2.87,0,0,0,0,0,0,0,0,0,1.72,0,0,0.57,0,0
 60-70,0,0,5.89,0,0.98,0,0,8.83,0,0,1.96,1.96,104.04,0,0,0,0.98,0,5.89,15.7,0,2.94,0.98,8.83,0,5.89,0,0,0.98,0,0,0,0,0,0,0.98,0,1.96,2.94,2.94,0
 72-82,0,0,30.43,0,0.98,1.96,0,10.8,0,0.98,1.96,3.93,268.98,0.98,0.98,0,0,0,2.94,26.5,0,2.94,2.94,40.25,0,6.87,0.98,0,1.96,0.98,0,0,0,0,0,2.94,0,3.93,0,1.96,0
 84-94,0,0,18.05,3.19,0,2.12,0,6.37,2.12,2.12,0,2.12,493.85,0,2.12,2.12,1.06,2.12,4.25,14.87,0,4.25,3.19,23.36,0,3.19,0,0,0,6.37,0,0,0,0,0,1.06,0,1.06,1.06,5.31,0
 96-106,0,0,27.32,9.84,5.46,3.28,0,14.21,1.09,1.09,1.09,7.65,625.11,0,1.09,0,2.19,0,6.56,19.67,0,1.09,2.19,74.31,0,6.56,1.09,0,2.19,9.84,0,0,0,0,0,1.09,1.09,4.37,0,3.28,1.09
108-118,0,0,16.85,13.02,3.83,0.77,0.77,8.43,0,0.77,0,5.36,624.26,0,0,0,0.77,0,1.53,6.89,0,0.77,1.53,65.87,0.77,1.53,1.53,0,0,5.36,0.77,0,2.3,0.77,0,0,2.3,0,1.53,3.83,0
120,0,0,19.6,3.92,1.96,0,0,9.8,1.96,0,1.96,1.96,419.39,0,0,1.96,0,0,5.88,11.76,0,0,0,45.08,3.92,5.88,0,0,0,3.92,0,0,1.96,0,0,0,0,0,0,1.96,0
