stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,13,3,0,0,0,0,0
 24-34,0.82,0,0.82,16.42,0,0,0,0,0,0,0,0,0,0,0,4.93,9.85,0.82,0,0,0,0,0.82,15.6,8.21,2.46,0,0,0,0
 36-46,0.81,0,4.03,102.32,0,1.61,0,0,0,0,0,0,0.81,3.22,0,5.64,29,0,0.81,0,0,0.81,0,29.81,0,3.22,0,0,0,0
 48-58,0,0,12.62,138.29,0.57,4.02,0.57,0.57,0.57,0.57,0,0,1.72,6.89,0,6.89,44.76,0,0,0,0,1.15,0,35.58,0,8.03,0,1.15,0,0
 60-70,1.96,0,15.7,102.08,0.98,0.98,0,0,0.98,0,0,0,0,6.87,0,3.93,32.39,0,0,0,0,3.93,0,25.52,0,0.98,0,1.96,0,0
 72-82,0,0,12.76,34.36,0,5.89,0,0,0,0,1.96,0,0,6.87,0,2.94,32.39,0,0.98,0,0,2.94,0,14.72,0,2.94,1.96,0,0.98,1.96
 84-94,1.06,1.06,7.43,50.98,0,3.19,0,0,2.12,1.06,0,0,0,6.37,1.06,4.25,14.87,0,0,0,0,4.25,0,19.12,0,3.19,0,0,1.06,1.06
 96-106,1.09,1.09,13.11,55.74,0,5.46,0,0,1.09,0,0,1.09,0,4.37,0,8.74,22.95,0,0,0,1.09,0,0,20.76,0,0,0,1.09,1.09,0
108-118,0.77,0,5.36,18.38,0,1.53,0,0,0,0,0,1.53,0.77,4.6,0,7.66,7.66,0,0,0.77,0,1.53,0.77,17.62,0,0.77,0,0,1.53,0
120,0,0,1.96,13.72,0,0,0,0,0,0,0,0,0,1.96,0,3.92,5.88,0,0,0,0,0,0,5.88,0,0,0,0,1.96,0
