stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,6,23,555,105,0,163,0,3,0,42,24,15,12,0,20,0,2,19,8,157,3,0,140,1722,107,5,27,55,0,142,4,364,31,44,463,624,0,0,30,0,1
 24-34,7.39,23.8,416.17,34.48,0,259.39,4.1,27.09,5.75,73.88,12.31,4.1,13.95,9.03,39.4,0.82,18.06,32.01,9.03,313.57,8.21,1.64,180.59,2560.25,71.41,47.61,50.89,0,0.82,556.54,0,0.82,35.3,37.76,139.55,716.61,0,0,130.52,0,13.95
 36-46,2.42,2.42,199,11.28,0,412.5,5.64,28.2,16.11,96.68,8.86,0.81,15.31,12.09,13.7,1.61,16.11,8.86,18.53,395.58,9.67,4.03,127.3,2609.56,88.62,45.12,28.2,0,1.61,643.73,3.22,0.81,31.42,24.17,3.22,739.6,0,0.81,95.07,0,20.14
 48-58,0.57,0.57,61.4,4.02,0,241.57,4.59,17.21,12.05,79.76,2.3,4.59,11.48,4.02,3.44,0.57,2.87,4.02,5.74,228.95,8.61,6.89,51.64,823.98,36.15,8.61,9.18,0,0.57,234.11,0,0,4.59,6.31,0,244.44,0,0.57,36.15,0.57,9.75
 60-70,0.98,0,71.65,16.69,0,429.91,4.91,26.5,15.7,125.63,3.93,3.93,7.85,15.7,13.74,2.94,8.83,5.89,8.83,382.79,10.8,15.7,55.95,1102.25,27.48,16.69,14.72,0,0.98,407.33,0,0,12.76,8.83,0,244.4,0,7.85,52.02,6.87,17.67
 72-82,1.96,0,55.95,16.69,0,179.64,2.94,36.32,8.83,57.92,5.89,5.89,5.89,3.93,4.91,1.96,6.87,4.91,0.98,198.3,7.85,6.87,20.61,377.94,21.6,13.74,7.85,0,1.96,214,0,0.98,9.82,1.96,0,56.94,3.93,5.89,43.19,3.93,9.82
 84-94,1.06,1.06,117.89,15.93,0,160.37,6.37,56.29,10.62,49.92,11.68,8.5,3.19,9.56,23.36,4.25,5.31,2.12,12.74,206.04,8.5,12.74,24.43,245.33,32.92,8.5,15.93,0,2.12,921.85,1.06,0,24.43,7.43,0,54.16,4.25,9.56,52.04,8.5,11.68
 96-106,2.19,0,103.82,25.14,1.09,87.43,4.37,27.32,5.46,38.25,6.56,1.09,2.19,12.02,19.67,1.09,6.56,5.46,2.19,85.24,6.56,3.28,12.02,134.42,15.3,10.93,4.37,0,1.09,515.82,1.09,0,16.39,6.56,0,16.39,3.28,3.28,18.58,6.56,4.37
108-118,1.53,0.77,88.09,2.3,1.53,48.26,0.77,29.11,1.53,16.85,9.19,0,4.6,6.89,17.62,3.06,2.3,0.77,5.36,54.38,9.19,9.19,8.43,92.68,16.85,9.19,12.26,0,2.3,311.75,0,0,10.72,4.6,0,13.02,2.3,0.77,21.45,3.06,6.13
120,1.96,0,115.63,1.96,0,70.55,3.92,39.2,5.88,23.52,11.76,0,1.96,3.92,9.8,0,1.96,3.92,0,64.67,3.92,1.96,13.72,113.67,23.52,31.36,15.68,0,0,276.33,0,1.96,9.8,3.92,0,19.6,3.92,1.96,21.56,0,0
