stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,232.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,2.63,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,78.86,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,31.47,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,11,0,4,0,0,0,0,0,0,0,0,0,5,0,2,71,2,1,0,2,0,9,1,1,9,11,0,0,0,0
 24-34,0,0,0,0.82,1.64,0,13.95,0,0.82,0,0,0,0,0,0,0,8.21,0,4.1,98.5,0.82,0.82,1.64,0,0.82,0,0.82,0.82,0.82,22.98,0,0,0,0.82
 36-46,0,0,0,0,1.61,0,13.7,0,3.22,0,0,0,0,0,0.81,0,10.47,2.42,0.81,41.89,0,0,0,0,0.81,0,0,0,0,15.31,0,0.81,0,0
 48-58,0,0,0,0,2.3,0,15.49,0.57,4.59,0,0,0,0,0,0,0.57,6.89,0.57,1.72,35,0,0.57,1.15,0,0.57,0,0,0,0,7.46,0,0,0,0
 60-70,0,0,0,0,1.96,0,13.74,0,4.91,0,0,0.98,0,0,0,0,3.93,0,0.98,30.43,0.98,0,0,0,1.96,0,0,0,0,7.85,0,0,0,0
 72-82,0,0,0,0,0,0,8.83,0.98,6.87,0.98,0,0,0,0,0,0,21.6,0.98,0,29.45,0.98,0,1.96,0,2.94,0,0,0,0,0.98,0.98,0.98,0.98,0.98
 84-94,0,0,0,0,2.12,0,8.5,0,5.31,0,0,0,0,0,0,0,9.56,1.06,1.06,10.62,0,0,3.19,0,2.12,0,0,0,0,1.06,0,0,0,1.06
 96-106,0,0,0,0,1.09,0,9.84,0,3.28,1.09,0,0,1.09,1.09,0,0,8.74,2.19,1.09,10.93,0,1.09,0,0,0,0,0,0,0,2.19,1.09,2.19,1.09,0
108-118,0,0,0,0,0.77,0.77,4.6,0.77,5.36,0.77,0,0,0,0,0,0.77,0.77,0,0,13.02,0,0.77,0.77,0,0.77,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,7.84,0,1.96,13.72,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
