stage,endoderm,epidermis,eye,glial,immune,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,somites,spinal.cord,vasculature,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,9.85,0.82,0.82,0,0.82,0,0,0,0.82,0.82
 36-46,0,0,4.83,0,0,0.81,0,0,0.81,8.86,0,0.81,0,0,0,0,4.03,3.22,0
 48-58,0,0,3.44,0.57,0,0,1.15,0,0,9.18,0,0,0,0,0,0,2.87,0,1.15
 60-70,0,0,6.87,0,0,0,1.96,0,0,10.8,0,0,0,0,0,0,0,0,0
 72-82,0,0,2.94,0,0,0,3.93,0,0,12.76,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,3.19,0,0,0,1.06,1.06,0,4.25,0,0,0,1.06,0,0,0,1.06,1.06
 96-106,0,0,2.19,0,1.09,0,0,0,0,5.46,0,0,0,0,0,0,0,0,0
108-118,0,0.77,0.77,0.77,0,0.77,0.77,0,0,7.66,0,0,0.77,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0
