stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,4,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,14,1,1,0,0,0,0,0,0,3,9,2,0,0
 24-34,0,0,1.64,0,2.46,0.82,0,0,0,0,0.82,0,0.82,0.82,0,0,6.57,0,0,2.46,25.45,0.82,0,0,0,0,0,0,0,0.82,13.13,8.21,0,0
 36-46,0,0,0,0,9.67,0,0,0,0.81,0,0.81,0.81,0,0,0,0,10.47,0,0,1.61,27.39,0.81,0,0,0,0,0,0,0,0,10.47,12.09,0,0
 48-58,0,0,0,0,11.48,0,0,0,4.02,0,0.57,0.57,0,0,0.57,0,12.62,0,0,1.72,34.43,0,0,0.57,0,0,0,0,0.57,0,12.05,9.18,0,0
 60-70,0,0,0,0,7.85,0,0,0,6.87,0,0.98,0.98,0,0,0,0,26.5,0,0,0,37.3,0,0,0.98,0,0,0,0,0.98,0,9.82,7.85,0,0
 72-82,0,0,0,0,13.74,0.98,0,1.96,11.78,0,0,0,0,0.98,0,0,26.5,0.98,0,7.85,30.43,0,0,0,0,0.98,0,0.98,0,0,4.91,14.72,0.98,0
 84-94,0,0,3.19,0,13.81,0,0,0,9.56,1.06,0,2.12,0,0,0,0,21.24,0,0,1.06,13.81,0,0,0,0,0,1.06,0,0,0,3.19,9.56,0,1.06
 96-106,0,0,2.19,0,4.37,0,0,2.19,10.93,0,0,1.09,0,1.09,0,0,27.32,0,0,3.28,25.14,1.09,0,1.09,0,0,0,0,1.09,0,1.09,15.3,0,0
108-118,0,0,1.53,0,5.36,0,0.77,0,9.96,0,0.77,2.3,0,0,0,0.77,21.45,0,0.77,0,24.51,0,0,0.77,0,0,0,0,0,0,0,9.19,0.77,0.77
120,0,0,1.96,0,7.84,0,0,0,3.92,0,0,3.92,0,0,0,0,11.76,0,3.92,1.96,25.48,0,0,1.96,0,0,3.92,0,0,0,1.96,13.72,0,0
