stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,8,188,47,0,40,0,5,0,8,5,2,1,1,14,1,1,1,2,54,1,0,40,638,20,5,10,27,0,21,114,13,5,163,247,0,0,3,0,1
 24-34,0,0,30.37,2.46,0,45.15,0,2.46,1.64,5.75,0.82,0,0,5.75,7.39,0,1.64,0,1.64,47.61,0,0,13.95,369.39,3.28,4.93,4.1,0,0.82,13.13,0.82,1.64,1.64,8.21,101.79,0,0,5.75,0,2.46
 36-46,0,0,9.67,6.45,0,124.07,0,4.03,3.22,20.14,0,0,0,1.61,2.42,0.81,3.22,0,1.61,51.56,1.61,1.61,17.72,655.01,4.03,14.5,3.22,0,0,31.42,0,2.42,0,0,144.21,0,0,4.03,0,4.03
 48-58,0,0,4.59,1.72,0,119.93,0,2.87,0,14.92,0.57,0.57,0.57,2.3,2.3,0.57,1.15,0,0,28.12,0.57,0,6.89,266.25,1.15,4.02,1.72,0,0,8.03,0,2.87,0.57,0,42.46,0,0.57,2.87,0,2.87
 60-70,0.98,0,9.82,0.98,0,290.53,0,1.96,0,26.5,0,0,0.98,9.82,1.96,0,1.96,0,1.96,51.04,2.94,0.98,2.94,302.31,0.98,3.93,1.96,0,0,14.72,0,0,0,0,43.19,0.98,0,1.96,0.98,0.98
 72-82,1.96,0.98,9.82,3.93,0,167.86,0,0.98,4.91,15.71,2.94,0,1.96,13.74,4.91,0,3.93,2.94,0,40.25,1.96,1.96,7.85,204.19,0,0.98,7.85,0,0.98,4.91,0,0,0,0,23.56,2.94,0.98,10.8,1.96,0.98
 84-94,0,0,19.12,11.68,0,123.2,0,1.06,0,13.81,3.19,1.06,1.06,11.68,4.25,2.12,1.06,5.31,1.06,38.23,2.12,0,0,109.39,1.06,6.37,7.43,0,0,28.68,0,0,0,0,9.56,7.43,0,9.56,0,1.06
 96-106,5.46,0,40.44,14.21,1.09,179.23,2.19,6.56,4.37,30.6,19.67,0,2.19,49.18,13.11,4.37,10.93,5.46,0,67.76,4.37,1.09,9.84,158.46,2.19,8.74,17.49,0,1.09,40.44,0,2.19,1.09,0,13.11,7.65,3.28,18.58,2.19,7.65
108-118,3.83,0,29.11,13.79,0.77,112.6,0,6.13,0.77,19.92,9.96,0,0,29.87,5.36,3.83,3.06,3.06,0.77,56.68,2.3,1.53,6.89,196.85,1.53,5.36,9.96,0,0.77,16.09,0,2.3,0.77,0,6.89,6.13,3.06,4.6,1.53,2.3
120,0,0,41.16,9.8,0,78.39,1.96,9.8,1.96,17.64,9.8,0,1.96,48.99,5.88,9.8,0,7.84,0,29.4,0,0,7.84,194.02,5.88,3.92,1.96,0,0,35.28,0,7.84,0,0,5.88,1.96,5.88,13.72,3.92,3.92
