stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,23.66,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,18.88,3.15,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,1,0,4,0,0,0,1,0,1,19,2,1,1,0,3,0,1,9,0,0,0
 24-34,0,1.64,0,0,0,0,0,2.46,0,0,16.42,0,0,0,0,0,0,0,3.28,0,0,0
 36-46,0,0,0,0.81,0,0,0,0.81,0,0.81,15.31,0,0,0,0,0,0.81,0,3.22,0,0,0
 48-58,0,0,0,2.87,0,0.57,0,0.57,0,1.15,9.75,0,0,0,0,0,0,0,2.87,0,0,0
 60-70,0,0,0,40.24,0,1.96,0,5.89,0,0,8.83,0,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,201.24,0.98,1.96,0.98,6.87,1.96,0.98,23.56,0,0,0,0,0,0,0,2.94,0,0,0
 84-94,0,2.12,1.06,189.04,2.12,1.06,0,3.19,0,0,4.25,1.06,0,0,1.06,0,0,0,1.06,0,0,1.06
 96-106,0,3.28,0,159.56,0,0,1.09,2.19,0,0,10.93,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0.77,0.77,120.26,0,1.53,0,2.3,0,0,9.19,0,0,0,0,0,0,0,0,0.77,0.77,0.77
120,0,0,0,125.43,0,1.96,0,1.96,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0
