stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,239.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,0,5.26,0,0,0,10.51,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,107.78,5.26,0,0,28.92,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,3.15,0,0,28.32,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,3,4,0,5,0,0,1,2,0,0,0,0,0,0,0,3,0,0,2,38,1,1,0,2,0,0,10,0,1,6,11,0,0,0,0
 24-34,0,0,0,0,4.93,0.82,0,9.85,0.82,0.82,0,0.82,0,0,0,0.82,0,1.64,1.64,9.85,0,0,4.1,58.28,0.82,0,0,0,3.28,0,0,0,0,0,17.24,0,0.82,0,0.82
 36-46,0,0,0,0,0,0,0,8.86,0,1.61,0,0,0,0,0,0,0,0,0,8.06,0,0,0,71.7,0.81,0.81,0,0,0,0,0,0.81,0,0,29,0,1.61,0,0
 48-58,0,0,0,0,0,0,0,13.77,0.57,0.57,5.16,0,0.57,0,0,0,0,0.57,0,7.46,0,0,1.15,48.77,0,0.57,0,0,1.72,0,0,0,0,0,12.62,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,0,17.67,0,0,3.93,0,0,0,0,0.98,0,0.98,0,7.85,0,0,0.98,40.24,0,0.98,0.98,0,3.93,0,0,0,0,0,1.96,0.98,0,0,0.98
 72-82,0,0,0.98,0,1.96,0,0,25.52,0,0.98,9.82,0,0.98,0.98,0,0.98,0,0,0,12.76,0,0.98,0,48.1,0,0,0.98,0,0.98,0,0,0,0,0,4.91,0.98,0,0,0.98
 84-94,0,0,0,0,2.12,0,0,19.12,0,0,7.43,1.06,0,0,1.06,0,1.06,0,0,7.43,0,0,0,37.17,0,0,1.06,0,3.19,0,0,0,0,0,5.31,0,0,0,0
 96-106,0,0,1.09,0,0,1.09,0,9.84,0,0,5.46,2.19,0,1.09,0,0,0,0,0,6.56,1.09,2.19,1.09,14.21,1.09,0,0,0,6.56,0,0,0,0,0,2.19,1.09,1.09,2.19,2.19
108-118,0,0,0,0,3.83,0,1.53,7.66,0,0.77,3.83,0,0,0,0.77,0,1.53,0,0,6.13,0,1.53,0,34.47,0,0.77,2.3,0,2.3,0,0,0,0,0,1.53,0,3.06,0,0
120,0,0,0,0,5.88,0,0,21.56,0,0,9.8,0,0,0,0,0,0,0,0,13.72,0,0,1.96,21.56,0,0,7.84,0,7.84,0,0,0,0,0,0,0,0,1.96,0
