stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,1,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,14,0,0,0,0,0,1,0,1,2,0,0,0,0
 24-34,0,0,1.64,0,3.28,0,0,0.82,0,0,0,0,0,0,0,3.28,2.46,2.46,0,0,1.64,31.19,0,0,0,0,4.93,0,0,0.82,6.57,0,0,0,0.82
 36-46,0,0,0,0,3.22,0,0,1.61,0,0,0,0,0,0,0,0.81,0,3.22,0,0,0,27.39,0,0,0,0,2.42,0,0,0,11.28,0,0,0.81,0
 48-58,0,0,1.15,0,8.03,0,0,2.3,0,0.57,0,0,0,0.57,0.57,0.57,1.15,9.18,0,0,1.15,21.8,0,0,0,0,0,0,1.15,0,8.61,0,0,0,0
 60-70,0,0,0.98,0,11.78,0.98,0,4.91,0,0,0,0.98,0,3.93,0,0.98,0,8.83,0,0,0.98,33.37,0,0,0,0.98,0,0,0.98,0,7.85,0,0,0,0
 72-82,0,0,1.96,0.98,19.63,0,0.98,8.83,0.98,0,0,0,0,1.96,0.98,1.96,0,13.74,1.96,0.98,0.98,23.56,0,0,0.98,0,1.96,0,0,0,2.94,0,0,3.93,0
 84-94,0,0,4.25,0,3.19,0,0,0,3.19,0,0,1.06,1.06,0,0,1.06,0,5.31,0,0,0,7.43,0,0,0,0,6.37,0,0,0,1.06,0,0,2.12,0
 96-106,0,0,4.37,2.19,5.46,1.09,0,6.56,0,0,0,0,0,2.19,0,0,0,5.46,0,0,0,12.02,0,1.09,0,1.09,5.46,0,0,0,1.09,0,0,1.09,0
108-118,0,0.77,1.53,0,4.6,0.77,0,2.3,0.77,0,0.77,0,0.77,1.53,0.77,0.77,0,4.6,0,0,0,6.89,0.77,0,0,0,3.06,0,0,0,0.77,0.77,0,0.77,0.77
120,0,0,1.96,0,3.92,0,0,3.92,0,0,0,0,0,1.96,0,0,0,5.88,0,0,1.96,11.76,0,0,0,0,1.96,0,0,0,0,0,1.96,1.96,0
