stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,3.28,0,0,0,0.82,0,0,0.82,1.64,0,0,5.75,0,0,0,0,0,0,2.46,0,0,0,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,0,0.81,0,0.81,5.64,0,0.81,0,0,0,0,4.03,0,0,0,0
 48-58,0,1.15,0,4.59,0,0,0,0,0.57,0,0,0.57,0,0,5.16,0,0,0,0,1.15,0,1.15,0,0,0,0
 60-70,0,0,0,7.85,0.98,0,0,0,0,0,0,0.98,0,0,13.74,0,0,0,0,0,0,0.98,0,0,0.98,0
 72-82,0,0.98,0,1.96,1.96,0,0,0,0,0.98,0,2.94,0,0,8.83,0,1.96,0,0,0,0.98,0.98,0,0,0,0
 84-94,0,0,1.06,2.12,0,0,0,1.06,0,0,0,2.12,0,1.06,1.06,0,0,0,0,6.37,0,0,0,0,0,1.06
 96-106,0,0,2.19,1.09,1.09,0,1.09,0,0,0,0,1.09,0,0,4.37,0,1.09,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0.77,1.53,0.77,0,2.3,0,0,0,0,2.3,0.77,0,3.83,0,0.77,0,0,0,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,1.96,0,5.88,0,0,0,1.96,0,0
