stage,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,lateral_line,mesenchyme,muscle,neural,notochord,otic,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,1,8,0,4,2,0,0,0,1,1,42,1,0,0,0,2,5,17,0,0,0
 24-34,0.82,0,0,11.49,1.64,0,0,0,4.93,1.64,93.58,0.82,0.82,0,0,0,0,13.13,0,0,0
 36-46,0,0.81,0,11.28,3.22,0,0,0,4.83,0,45.12,0,0,0,0,0,0,8.86,0.81,0,0
 48-58,0,0.57,0,14.35,1.72,0,0,0,2.87,2.3,21.23,0,0,0,0,0,0,2.87,0,1.15,0
 60-70,0,0.98,0,11.78,2.94,0,0,0,7.85,0,9.82,0,0,0.98,0,0,0,0.98,0,0.98,0
 72-82,0,0,0,7.85,0.98,0,0,0.98,5.89,0.98,13.74,0,0,0.98,0,0,0,0.98,0,0.98,0
 84-94,0,1.06,1.06,5.31,4.25,2.12,0,0,3.19,2.12,7.43,0,0,0,1.06,0,0,0,0,0,1.06
 96-106,0,0,0,3.28,2.19,0,1.09,0,0,0,5.46,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0.77,0,3.83,0,0,0,0,5.36,0.77,5.36,0,0,1.53,0.77,0,0,0,0,0.77,0
120,0,0,0,5.88,1.96,0,0,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0,0
