stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21,0,0,0,0,0,0,2.46,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,8.06,0,0,0,0,0,0,5.64,0,0,0
 48-58,0,0,0.57,0,0,0,0.57,0,0,1.15,0,0,0,0,0,0,0.57,1.15,1.72,0,0,0,0,0,0,0,0,0
 60-70,0.98,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,2.94,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0.98,0,36.32,0.98,0,0,0.98,0,0,0,0,0,1.96,0,6.87,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,78.59,1.06,0,0,0,0,0,0,3.19,0,0,0,6.37,3.19,0,0,1.06,0,0,1.06,0,0,1.06
 96-106,0,0,0,0,1.09,174.86,4.37,0,0,0,0,0,1.09,2.19,0,3.28,0,26.23,2.19,0,1.09,2.19,0,0,0,0,0,0
108-118,0,0,0,3.06,1.53,477.96,13.02,0.77,0,4.6,3.06,2.3,1.53,4.6,0.77,9.96,0,40.6,0.77,0.77,0,5.36,0,0.77,1.53,1.53,0.77,0.77
120,0,0,0,0,1.96,158.74,5.88,0,1.96,3.92,0,0,1.96,0,0,3.92,0,13.72,0,1.96,0,3.92,0,1.96,0,0,0,0
