stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,immune,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,13.14,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,15.73,0,0,6.29,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,2.46,0.82,0.82,0,0,0.82,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,3.22,3.22,1.61,0,0,2.42,0,0
 48-58,0,0,0.57,0,0,0,0,0,0,0.57,0,0,4.02,2.3,0.57,0,0,1.72,0,0
 60-70,0,0,0,0,0.98,0.98,0,0,0,0,0.98,0,0.98,1.96,2.94,0,0,1.96,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0.98,0.98,0,4.91,2.94,7.85,0,0,0.98,0.98,0
 84-94,0,0,1.06,1.06,0,1.06,1.06,0,0,0,0,1.06,3.19,5.31,8.5,0,0,4.25,0,1.06
 96-106,0,0,0,0,0,1.09,0,0,0,1.09,0,0,0,6.56,10.93,0,0,3.28,0,0
108-118,0,0,0,0,0.77,0,0,0,0.77,2.3,0,0,2.3,3.06,9.19,0,0,1.53,0,0
120,0,0,0,0,1.96,0,0,1.96,0,0,0,0,3.92,3.92,13.72,0,0,1.96,0,0
