stage,blastomeres,epidermis,eye,fin.epithelia,glial,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,pericytes,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,3.28,0,0.82,0.82,0,0,0
 36-46,0,0,0.81,0,0,0,1.61,0,0,0,8.06,0,1.61,0,1.61,0,0
 48-58,0,0,0,0,0,0,1.15,0,0,0,5.74,0,0.57,0,2.3,0,0
 60-70,0,0,4.91,0.98,0,0,2.94,0,0,0,18.65,0,0,0,0.98,0,0
 72-82,0,0,3.93,0.98,0,0,0,0,0,0,3.93,0,1.96,0,0.98,0,0
 84-94,0,0,4.25,0,0,0,0,0,0,0,8.5,0,2.12,0,0,0,0
 96-106,0,1.09,1.09,0,0,0,2.19,0,0,2.19,4.37,0,4.37,0,0,0,0
108-118,0,0,0.77,0,0.77,0.77,0,0,0,0.77,5.36,0.77,2.3,0,0,0,0.77
120,0,0,3.92,0,0,0,5.88,1.96,1.96,1.96,5.88,0,3.92,0,0,1.96,0
