stage,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,lateral_line,liver,mesenchyme,neural,olfactory,periderm,spinal_cord,visceral_smooth_muscle,xanthophores
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,1.64,0.82,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.61,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,1.72,0,0,0,0,0
 60-70,0.98,0,0,4.91,0.98,0,0,0,0,6.87,0,0,0,0,0
 72-82,4.91,0,0,8.83,0,11.78,0,0,0.98,16.69,3.93,0,0,1.96,0
 84-94,9.56,0,1.06,3.19,1.06,14.87,0,0,0,6.37,4.25,0,0,0,0
 96-106,12.02,0,0,3.28,0,19.67,1.09,0,2.19,7.65,2.19,2.19,0,0,1.09
108-118,6.89,0,0,6.89,0.77,16.09,0,2.3,1.53,3.83,2.3,0,0,0,0
120,7.84,0,0,1.96,0,15.68,0,0,1.96,9.8,3.92,0,0,0,0
