stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,17,7,2,0,3,0,0,0,0
 24-34,0,0,1.64,0,1.64,0,0,0,0,0,0,0,0,0.82,0,1.64,119.02,4.1,1.64,0.82,25.45,0,0,0,0
 36-46,0,0,2.42,0,4.03,0,0,0,0,0,0,0.81,0.81,1.61,0,1.61,208.67,3.22,0.81,0,28.2,0,0.81,0,0
 48-58,0,0,0.57,0,19.51,1.15,0.57,0,0,0.57,0,0,0.57,6.31,0.57,0.57,144.6,2.3,0.57,0,9.75,0,0,0,0
 60-70,0,0,0.98,0,62.82,0,2.94,0,0,0,1.96,0,0.98,6.87,0,0,324.88,1.96,0.98,0,7.85,0,0,0,1.96
 72-82,0,0,1.96,0.98,123.69,0,6.87,0.98,0.98,0,0,0,0,12.76,0,0.98,339.65,0,1.96,0,3.93,0,0.98,0,0
 84-94,0,0,6.37,0,84.96,1.06,9.56,0,0,0,0,0,0,6.37,0,0,182.67,3.19,7.43,0,2.12,0,0,1.06,0
 96-106,0,0,8.74,0,53.55,0,6.56,0,0,1.09,2.19,0,0,7.65,0,1.09,171.58,1.09,4.37,0,2.19,0,0,0,0
108-118,0,0,5.36,0,61.28,0,3.06,0.77,0,0,0,0,0,6.89,0,0,214.47,1.53,3.83,0,1.53,0.77,0,0,0
120,0,0,3.92,0,33.32,0,3.92,0,0,0,0,0,0,1.96,0,0,135.23,3.92,3.92,0,1.96,0,0,1.96,0
