stage,epidermis,eye,glial,ionocyte,liver,mesenchyme,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
 14-21,5,0,0,0,1,1,12,1,1,1,0,1,4
 24-34,0,0,1.64,0.82,0,0,2.46,0,0,0,1.64,0,7.39
 36-46,0,0,0.81,0,0,0,3.22,0,0.81,0,0,0,2.42
 48-58,0,1.15,5.16,0,0,0,5.74,0,0,0,0,0,1.15
 60-70,0,0,1.96,0,0,0,4.91,0,0,0,0,0,0.98
 72-82,0,0,24.54,0,0,0.98,1.96,0,0,0,0,0,0
 84-94,0,1.06,8.5,0,0,0,9.56,0,0,0,0,0,0
 96-106,0,1.09,6.56,0,0,0,3.28,0,0,0,0,0,1.09
108-118,0,0.77,8.43,0,0.77,0.77,3.06,0,0,0,0,0,0.77
120,0,0,9.8,0,0,0,1.96,0,0,0,0,0,0
