stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,18.88,0,0,53.5,0,0,0,0,3.15,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,3,12,0,0,0,0,0,2,0,19,36,2,1,0,0,13,0,0,8,43,10,0,0,1,0,20,2,15,0,409,255,7,0,0,1,0,0
 24-34,0.82,0,0.82,2.46,9.03,0,4.1,21.34,1.64,0,0,0,15.6,72.24,0.82,7.39,0,0,17.24,1.64,0,12.31,62.39,0.82,0.82,0,0,0,141.19,0.82,0,0,89.47,93.58,16.42,0,0,28.73,0,0
 36-46,0,0,0,0.81,0.81,0,6.45,28.2,0.81,0.81,1.61,0,23.36,80.57,0,9.67,0,0,29,1.61,0,7.25,27.39,0.81,3.22,0.81,0,0,269.9,0,0.81,0,19.34,7.25,5.64,0,0.81,22.56,0,0
 48-58,0,0,0,2.87,4.02,0,4.59,13.2,0.57,0,1.15,0,16.64,65.99,0,11.48,0,0,22.95,0,0,4.02,21.8,1.15,3.44,0,0,0,90.09,0,0,0,3.44,0,2.87,0,1.72,20.66,0,0.57
 60-70,0,0,0,6.87,10.8,0,3.93,17.67,3.93,1.96,0,0,14.72,64.78,0.98,23.56,0,0,39.26,0,1.96,5.89,22.58,1.96,3.93,0,0,0,58.89,0,0,0,1.96,0,0.98,0,10.8,26.5,0.98,1.96
 72-82,0,0,0,3.93,26.5,0,8.83,9.82,1.96,0.98,1.96,0.98,20.61,169.83,0,16.69,0.98,0,107,0,4.91,3.93,26.5,0,3.93,0,0,1.96,87.37,0,0,0,0.98,0,0,0,22.58,39.27,0.98,2.94
 84-94,0,0,0,18.05,33.99,0,11.68,10.62,12.74,1.06,3.19,0,10.62,202.85,1.06,30.8,0,0,65.85,2.12,7.43,6.37,27.61,0,4.25,1.06,0,0,368.53,0,0,0,8.5,0,2.12,0,18.05,48.85,2.12,3.19
 96-106,0,0,0,30.6,54.64,0,15.3,20.76,6.56,0,4.37,1.09,28.41,298.35,2.19,32.79,0,3.28,110.38,2.19,5.46,7.65,50.27,1.09,8.74,1.09,0,3.28,375.94,0,0,1.09,6.56,0,1.09,2.19,27.32,54.64,6.56,9.84
108-118,0,0,0.77,24.51,75.06,0.77,12.26,38.3,21.45,2.3,8.43,2.3,16.09,233.62,6.89,49.79,0,0,95.75,3.83,6.89,11.49,50.55,1.53,4.6,0,0,4.6,456.51,0,0,1.53,13.02,0,0,0,16.85,45.96,6.13,6.89
120,0,0,0,31.36,90.15,0,7.84,29.4,5.88,1.96,9.8,0,15.68,278.29,1.96,25.48,0,0,60.75,7.84,1.96,9.8,33.32,3.92,3.92,3.92,0,9.8,346.88,0,0,0,3.92,0,0,0,19.6,56.83,9.8,0
