stage,axial,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,175,0,2,0,0,2,0,1,3,0,0,0,0
 24-34,0,0,0,3.28,0,0,0,0,0,0,0,0.82,0,0.82,1.64,0,0.82,20.52,265.96,0.82,0,0.82,0,0,0,0.82,2.46,0,0,0.82,0
 36-46,0,1.61,0,9.67,0.81,0,0,0.81,0,0,0,0,0,0,3.22,0,1.61,37.06,261.04,0,0,2.42,0,0,0.81,0,6.45,0,0,0,0.81
 48-58,0.57,0,0,14.92,0.57,0,0,1.72,0,0,0,0,0,0,10.9,0,1.72,40.17,174.44,0.57,0,1.15,0,0,0,0,4.59,0,0,0.57,0
 60-70,0.98,0,0,10.8,0,0,0,7.85,0,0,0,0,0,0,28.46,0,0,46.13,121.71,0,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0.98,1.96,18.65,0,0,0,13.74,0,0.98,0,0,0,0.98,52.03,0.98,0.98,50.06,101.11,0.98,0,0,0,0,0,0,1.96,0.98,0,0.98,0
 84-94,1.06,2.12,0,38.23,0,0,0,4.25,0,0,0,0,0,0,32.92,0,0,32.92,151.87,0,0,1.06,1.06,0,0,0,0,0,0,0,0
 96-106,0,1.09,0,37.16,1.09,0,0,14.21,0,0,0,0,1.09,0,17.49,0,0,48.09,114.75,0,0,1.09,0,0,0,0,1.09,0,1.09,0,0
108-118,0,4.6,3.06,45.19,0,0,0.77,13.79,0.77,0,1.53,0,0,0,27.57,0.77,2.3,43.66,134.81,0,0,0.77,0,0,0,0,1.53,0,0,0,0
120,3.92,1.96,0,31.36,0,1.96,0,7.84,0,0,0,0,0,0,19.6,0,0,27.44,164.62,1.96,0,0,0,0,0,0,0,0,0,0,0
