stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,1,0,0,0
 24-34,0.82,0,0,2.46,0,0,0,0,0,0,1.64,0,0,0,0,0,2.46,0,0.82,15.6,2.46,0,1.64,0.82,0,0,0,4.1,0.82,0,0
 36-46,1.61,0,0,0.81,0,0,0,1.61,0,0,0,0,0,0,0,0,4.83,0,0.81,21.75,3.22,0,1.61,0,0,0,0,9.67,3.22,0,0
 48-58,0,0,0,2.87,1.15,0,0,2.87,0,0,0,0,0,0,0,0,8.61,0,1.15,27.54,1.15,0,1.72,0,0,0,0.57,3.44,0.57,0,0
 60-70,2.94,0,0,1.96,0,0,0,3.93,0,0,0,0,1.96,0,0,1.96,12.76,0,1.96,15.7,0,0,0,1.96,0,0,0,0.98,0.98,0,0.98
 72-82,0,0,0,4.91,0,0,0,2.94,0,0,0,0,0,0,0,0,7.85,0.98,0,32.39,0,0,0,0.98,0,0,0,0.98,0,0,0.98
 84-94,1.06,0,0,4.25,0,0,1.06,2.12,0,1.06,0,0,0,0,0,0,5.31,1.06,0,18.05,1.06,0,0,2.12,0,0,1.06,0,0,0,0
 96-106,3.28,1.09,0,2.19,0,0,0,9.84,1.09,0,0,0,0,0,0,0,6.56,0,0,14.21,0,1.09,2.19,1.09,0,0,1.09,3.28,0,1.09,0
108-118,2.3,0.77,2.3,3.83,0.77,0,0.77,6.13,0,0,0,0.77,0,0.77,0.77,0,7.66,0,0.77,7.66,0.77,0,1.53,0,0,0.77,0,0,0,0,0
120,1.96,3.92,0,5.88,0,3.92,0,3.92,1.96,0,0,3.92,1.96,0,0,0,9.8,0,1.96,17.64,1.96,0,5.88,1.96,0,1.96,0,1.96,3.92,0,0
