stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,395.34,6285.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.09,0,0,0,0,0,0,0
  5-6,202.28,3218.06,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,91.94,0,0,0,18.39,122.59,0,0,0,0,0,0,0
  7-9,21.03,28.92,0,49.95,0,0,81.49,0,0,0,0,60.46,0,0,0,0,0,0,0,793.87,34.17,0,0,310.19,0,10.51,0,0,0,0,0,0
 10-12,0,9.44,0,3.15,0,3.15,31.47,0,0,0,0,9.44,0,0,0,0,0,0,0,188.82,18.88,0,0,132.17,3.15,3.15,0,18.88,0,0,0,0
 14-21,0,0,0,1,15,3,3,0,0,2,2,1,0,0,0,0,2,0,2,35,1,0,0,2,3,2,6,0,2,9,18,0
 24-34,0,0,0.82,0,0.82,0,0.82,0,0,0,0,0,0.82,0.82,0,0,1.64,0,0.82,15.6,0,2.46,0.82,0,10.67,0,0,0.82,0,0,2.46,0.82
 36-46,0,0,0,0,0,0,1.61,0,0,0.81,0,0,0,0,0,0,3.22,0,0,23.36,0,1.61,0,0,7.25,0,0,0,0,0,4.03,0.81
 48-58,0,0,0,0,1.15,0,4.02,0,0,0.57,0,0,0,0.57,0,0,1.72,0,0.57,9.75,0,1.72,0,0,4.59,0,0,0,0.57,0,4.59,1.15
 60-70,0,0,0,0,0,0,1.96,0,0,0.98,0,0,0,0,0,0,3.93,0,0,16.69,0,0.98,0,0,2.94,0,0,0.98,0.98,0,0.98,0.98
 72-82,0,0,0,0,0.98,0,2.94,0,0,5.89,0,0,0,0,0,0,1.96,0,0,30.43,0,2.94,0.98,0,0.98,0.98,0,0,0,0,0.98,0
 84-94,0,0,0,0,1.06,0,0,0,0,2.12,0,0,1.06,0,0,0,0,2.12,1.06,13.81,0,2.12,0,0,12.74,0,0,0,0,0,1.06,3.19
 96-106,0,0,0,0,0,0,2.19,1.09,0,2.19,1.09,0,0,0,1.09,1.09,1.09,0,0,8.74,0,0,1.09,0,6.56,0,0,0,0,0,0,2.19
108-118,0,0,0,0,1.53,0,1.53,0,1.53,3.83,0.77,0,0,0.77,0.77,0,0.77,0,0,19.15,0,2.3,0,0,8.43,0,0,0,0,0,0,0.77
120,0,0,0,0,5.88,0,1.96,0,0,5.88,0,0,0,0,0,0,1.96,0,0,5.88,0,0,0,0,5.88,0,0,0,1.96,0,0,1.96
