stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,26.36,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,2,0,4,0,0,1,0,1,0,0,0,1,1,23,1,0,1,1,2,3,1,3,6,0,1,0
 24-34,0,0,0,5.75,1.64,0,3.28,0.82,0,0.82,0,0.82,0,0.82,0,8.21,2.46,35.3,0,0.82,0,2.46,0,0,1.64,0,5.75,0,0.82,0
 36-46,0,0,0,2.42,0.81,0,0.81,0,0.81,0.81,0,0,0,0,0.81,3.22,1.61,23.36,0,0,0,3.22,0,0,0.81,0,8.86,0,0,0
 48-58,0,0,0,0.57,0,0,2.87,0.57,0.57,1.15,0,0,0,0,0.57,2.3,0,5.16,0,0.57,0,1.72,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,0.98,0,0,1.96,0,0,0.98,0,0.98,0,0,0,0.98,0,0,0.98,0,0,1.96,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,0,1.96,0.98,0.98,4.91,0.98,0.98,0.98,0,0,9.82,0,1.96,0,0,0,0.98,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,2.12,1.06,0,1.06,0,1.06,1.06,2.12,1.06,0,2.12,0,3.19,0,1.06,0,2.12,0,2.12,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,3.28,0,0,1.09,0,1.09,1.09,1.09,0,0,0,1.09,5.46,0,2.19,1.09,0,0,4.37,0,0,0,0,0,0,2.19,1.09
108-118,0,0,0,3.83,0,0.77,0.77,0.77,0,0.77,0,0.77,0.77,0,0,3.06,1.53,2.3,0,0,0,5.36,0,0,0,0,0,0,1.53,0
120,0,0,0,3.92,3.92,0,1.96,1.96,0,0,0,1.96,0,0,0,0,0,0,1.96,1.96,0,3.92,0,0,0,0,0,0,0,0
