stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,131.78,1515.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,49.04,815.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,15.77,0,15.77,0,0,21.03,0,0,0,0,0,7.89,0,0,0,0,0,0,0,289.16,15.77,0,0,115.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,9.44,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,201.41,15.73,0,0,66.09,0,0,9.44,0,3.15,3.15,0,0,0,0
 14-21,0,0,0,1,5,3,4,0,0,0,2,1,0,0,0,0,0,7,0,5,50,2,0,1,0,1,8,0,2,5,17,0,0,0,0
 24-34,0,0,0,0,1.64,1.64,2.46,0,0,1.64,1.64,0,0,0,0,0.82,0,6.57,0,10.67,78.8,0,0.82,0,0,4.93,0,0,0,3.28,16.42,0,2.46,0,0.82
 36-46,0,0,0,0,1.61,0,9.67,0,0,0,4.83,0,0,0,0.81,0,0,11.28,0,2.42,70.09,0,0,0.81,0,0.81,0,0,0,0,16.11,0,2.42,0,0
 48-58,0,0,0,0,1.15,0.57,13.2,0.57,0,0,3.44,0,0,0.57,0.57,0,0,12.62,0,1.15,35.58,0.57,0,0.57,0,2.3,0,0,0,0,10.33,0,1.72,0,0
 60-70,0.98,0,0,0,0,0,13.74,0.98,0,0,9.82,0,0,0,0,0,0.98,14.72,0,1.96,21.59,0,0,0.98,0,2.94,0,0,0,0,4.91,0,0.98,0,0
 72-82,0,0,0,0,0.98,1.96,5.89,0,0,0.98,4.91,0,0,0,0,0,0,19.63,0.98,1.96,21.6,0,0,0.98,0,1.96,0,0.98,0,0,0.98,0.98,3.93,0.98,0.98
 84-94,0,0,2.12,0,2.12,0,6.37,0,0,1.06,8.5,1.06,0,1.06,2.12,0,0,7.43,0,2.12,12.74,1.06,1.06,1.06,0,4.25,0,0,0,0,0,0,2.12,1.06,1.06
 96-106,0,0,0,0,2.19,3.28,7.65,0,0,0,8.74,1.09,0,0,0,2.19,0,10.93,0,0,6.56,0,3.28,0,0,2.19,0,0,0,0,0,2.19,1.09,0,2.19
108-118,0,0,0,0,2.3,0,5.36,0,0.77,0.77,3.06,0,0,0.77,1.53,0,0,11.49,0,0.77,12.26,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0
120,0,0,0,0,1.96,1.96,5.88,1.96,0,1.96,1.96,0,0,0,0,1.96,0,11.76,0,0,13.72,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0
