stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,6,0,0,0,0,0,0,2,0,0,1,4,0,0,1,0,0
 24-34,0,0,0.82,4.93,0,0,4.93,0,81.26,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0.82,32.01,0,0,0,0,0,1.64,0,0,0,0,5.75,0,0,0.82,0,0
 36-46,0,0,0,5.64,0,0,22.56,0,161.13,0.81,3.22,0,0,0,0,0.81,0,0,0,0.81,7.25,0,0.81,5.64,87.82,0.81,0.81,0,0,0,3.22,0,0.81,0,0,21.75,0,0,0.81,0,0
 48-58,0,0,0,2.87,0.57,0,50.49,1.15,214.6,2.3,14.92,0,0,0.57,0.57,0.57,0,0,1.72,0.57,23.53,0,0,4.02,138.86,2.3,0,0.57,0,0,8.61,0,0,1.15,0,31.56,0,0,3.44,0,4.02
 60-70,0.98,0,0,5.89,1.96,0,59.87,0.98,249.31,1.96,13.74,0.98,0,0,0.98,0.98,0,0.98,0,0,32.39,0,0.98,1.96,120.73,0,0.98,0.98,0,0,26.5,0,1.96,0,0,18.65,0,0,2.94,0,2.94
 72-82,0,0,0,11.78,2.94,0,65.77,0,220.87,4.91,12.76,0,0.98,0.98,2.94,0,0.98,1.96,0.98,0.98,35.34,0,2.94,0.98,107.98,0,3.93,0.98,0,0,51.05,0,0.98,0,0,7.85,0,0,2.94,2.94,0.98
 84-94,0,0,1.06,15.93,4.25,0,41.42,3.19,380.21,1.06,8.5,4.25,0,0,2.12,1.06,2.12,1.06,1.06,0,31.86,0,1.06,3.19,54.16,0,0,0,0,0,83.9,0,0,0,0,6.37,2.12,0,2.12,6.37,1.06
 96-106,0,0,1.09,37.16,10.93,5.46,65.57,0,434.95,5.46,29.51,7.65,0,2.19,7.65,6.56,1.09,4.37,4.37,0,64.48,0,4.37,13.11,121.31,0,3.28,2.19,0,4.37,107.1,0,0,0,0,6.56,1.09,0,9.84,0,7.65
108-118,0,0,0.77,39.83,6.89,2.3,51.32,0.77,573.71,3.83,23.74,6.13,0,0,6.13,2.3,0.77,2.3,5.36,2.3,52.09,0,1.53,7.66,119.49,0.77,2.3,1.53,0,1.53,85.79,0,1.53,0.77,0,3.83,1.53,1.53,6.89,1.53,1.53
120,0,0,0,54.87,5.88,0,23.52,3.92,444.87,3.92,15.68,5.88,0,3.92,11.76,0,0,1.96,1.96,0,41.16,3.92,0,3.92,109.75,1.96,3.92,3.92,0,0,35.28,0,1.96,0,0,3.92,0,1.96,5.88,0,0
