stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,1,16,6,0,6,0,0,0,12,1,0,1,0,0,0,1,0,0,16,0,0,14,186,0,0,1,0,0,3,25,0,0,16,61,0,0,3,0,0
 24-34,0.82,1.64,0,5.75,1.64,0,10.67,3.28,0.82,0,7.39,0,0,0.82,0.82,2.46,0,0,0,0,22.16,0.82,0,13.13,201.11,0,8.21,1.64,0,0,4.93,0,1.64,0,0.82,45.97,0,0,37.76,0,0
 36-46,0,0,0,1.61,0,0,73.32,5.64,0,0,6.45,3.22,0,1.61,0.81,2.42,0.81,0,0,0,22.56,1.61,0.81,8.86,130.52,0,5.64,0,0,0,4.83,0,0,0.81,0,28.2,0,0,29,0,0
 48-58,0,0,0,6.31,0,0,115.91,7.46,0,0.57,9.75,0.57,0,1.72,0,1.15,2.3,1.72,0,0,44.76,1.72,0.57,4.59,83.2,0,1.15,1.15,0,0,5.74,0,2.3,0.57,0,14.92,0,0,41.31,0,0.57
 60-70,0,0,0,17.67,0,0,130.54,6.87,0,0.98,29.45,0,0,2.94,0,3.93,0,3.93,0.98,0,109.93,1.96,0,8.83,103.06,0,0.98,0,0,4.91,16.69,0,1.96,2.94,0,7.85,0,0,36.32,0,0
 72-82,0,4.91,0,41.23,4.91,0.98,136.45,2.94,1.96,8.83,41.23,0.98,0.98,7.85,0,11.78,0,5.89,0.98,0.98,262.1,10.8,4.91,27.49,165.9,0,4.91,2.94,0,5.89,26.5,0,0.98,0,0,19.63,3.93,1.96,82.46,2.94,0.98
 84-94,0,0,0,89.21,0,0,82.84,3.19,3.19,3.19,28.68,6.37,0,8.5,0,18.05,2.12,9.56,4.25,0,176.3,6.37,2.12,23.36,107.27,1.06,6.37,1.06,0,2.12,70.09,0,3.19,0,0,7.43,2.12,3.19,81.78,2.12,1.06
 96-106,0,1.09,0,106.01,10.93,0,87.43,6.56,6.56,3.28,49.18,10.93,0,25.14,4.37,37.16,2.19,15.3,12.02,0,267.75,7.65,9.84,38.25,137.7,1.09,7.65,6.56,0,9.84,60.11,0,0,0,0,6.56,7.65,2.19,130.05,8.74,1.09
108-118,0,2.3,0.77,124.85,3.06,1.53,92.68,5.36,6.89,5.36,44.43,12.26,0,8.43,4.6,23.74,1.53,17.62,9.96,0.77,324,10.72,4.6,52.09,193.79,0,3.83,0,0,17.62,75.06,0,1.53,1.53,0,7.66,13.02,2.3,98.04,3.06,5.36
120,0,1.96,0,137.18,17.64,0,62.71,7.84,3.92,3.92,41.16,5.88,1.96,11.76,0,25.48,0,7.84,3.92,0,246.93,7.84,5.88,35.28,194.02,0,5.88,3.92,1.96,9.8,56.83,0,0,1.96,0,7.84,5.88,5.88,82.31,1.96,0
