stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,1,1,0,1,1,0,0,0,0,0,3,0,0,10,0,0,0,0,0,1,2,1,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,0,3.28,0,2.46,20.52,0,0,0,0,0.82,0,0,7.39,1.64,0.82
 36-46,0,0,0.81,0,1.61,0,0.81,0,0,0,0,0,0,4.83,0,0.81,19.34,0,0,0,0,2.42,0,0,7.25,2.42,0
 48-58,0,0,0,0,0.57,0.57,1.15,0,0,0,0,0,0,3.44,0,1.15,10.33,0,0,0,0,1.72,0,0,1.15,0.57,0
 60-70,0,0,0,0,1.96,0,0,0,0,0,0,0,0,3.93,0,0,22.58,0,0,0,0,0.98,0,0,5.89,1.96,0
 72-82,0,0,0,0,4.91,0,1.96,0,0,0,0,0,0,5.89,0.98,0,33.38,0,0,0,0,1.96,0,0,2.94,0.98,0
 84-94,0,0,1.06,0,3.19,0,2.12,2.12,0,0,0,0,1.06,6.37,1.06,0,20.18,0,0,1.06,0,3.19,0,0,5.31,2.12,0
 96-106,0,0,0,1.09,1.09,0,2.19,0,1.09,0,0,0,1.09,1.09,0,0,18.58,0,0,0,0,6.56,0,0,1.09,0,0
108-118,0,0,2.3,0,3.83,0,1.53,0,0,3.83,0.77,0.77,0,6.13,0.77,0.77,23.74,0,0.77,0,0,3.06,0,0,0.77,1.53,0
120,0,0,0,0,0,3.92,3.92,0,0,0,1.96,0,0,1.96,1.96,0,9.8,0,0,0,0,5.88,0,0,1.96,3.92,0
