stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,909.28,15853.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566.65,0,0,0,0,0,0,0
  5-6,968.48,10714.6,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,177.76,6.13,0,0,67.43,171.63,0,0,0,0,0,0,0
  7-9,34.17,42.06,0,55.2,0,0,0,31.54,0,0,0,21.03,0,0,0,0,0,0,0,0,0,1083.03,31.54,0,0,294.42,21.03,18.4,0,0,0,0,0,0
 10-12,0,3.15,0,34.62,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,361.9,0,0,0,18.88,9.44,6.29,0,0,0,0,0,0
 14-21,0,0,1,2,90,0,0,1,0,0,5,0,0,5,0,0,0,0,0,1,1,3,0,1,1,0,26,0,0,3,1,0,0,0
 24-34,0,0,0,0.82,35.3,0,0,0,3.28,0,1.64,0,0,8.21,0,2.46,0.82,0.82,0,0,0,19.7,0,4.1,2.46,0,86.19,0,0.82,0,2.46,0,0,0
 36-46,0,0,0,0,23.36,0.81,0,4.03,3.22,0,0,0,0,2.42,0,6.45,0,4.03,0.81,2.42,0.81,21.75,0,5.64,0.81,0,91.85,0,0.81,0,2.42,0,0,0
 48-58,0,0,0,0,12.62,0,0,1.72,3.44,0,0.57,0.57,0,1.72,1.15,6.31,0,2.87,1.15,2.87,0,11.48,0,4.02,1.15,0,44.76,0,0,0,0,0,0,0
 60-70,0,0,0,0,17.67,0,0,0.98,3.93,0,1.96,0,0,2.94,0,4.91,0.98,5.89,0.98,2.94,0,10.8,0,2.94,2.94,0,52.02,0,0,0,0.98,0,0,0
 72-82,0,0,0.98,0,20.61,0,0.98,1.96,3.93,0,5.89,0,0,4.91,0.98,11.78,0,0.98,2.94,7.85,0,9.82,0,9.82,2.94,0,55.95,0,0,0,0,2.94,0.98,0
 84-94,0,0,0,0,44.61,0,0,3.19,11.68,2.12,5.31,3.19,0,4.25,0,10.62,0,10.62,1.06,3.19,0,8.5,0,8.5,1.06,0,100.89,0,1.06,0,0,1.06,0,1.06
 96-106,0,0,1.09,0,42.62,1.09,0,3.28,7.65,1.09,6.56,0,0,15.3,0,7.65,0,8.74,1.09,5.46,0,12.02,0,5.46,3.28,0,81.96,0,0,0,0,7.65,0,1.09
108-118,0,0,0,0.77,48.26,0.77,0,2.3,16.85,1.53,9.19,0,1.53,3.83,0.77,9.96,0,5.36,0.77,3.83,0,14.55,0,3.83,2.3,0,73.53,0,0.77,0,0,6.13,0,0
120,0,0,0,0,62.71,0,0,1.96,13.72,0,9.8,0,0,5.88,0,7.84,0,0,0,5.88,0,9.8,0,7.84,0,0,56.83,0,1.96,0,0,1.96,0,0
