stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,19,2,1,0,0,0,0,12,0,0,7,0,0,3,1,2,6,7,0,0,0,1,0,3,1,0,1,37,0,1,0,0
 24-34,0,0.82,16.42,3.28,0,0,2.46,1.64,0,13.95,0,0,62.39,0,4.1,3.28,13.13,0,22.98,0,0,0.82,0,0.82,0,0,0,0.82,0.82,22.16,0,0,0,0
 36-46,0,0,3.22,0.81,0,0,1.61,0,1.61,8.86,0,0,24.98,0.81,7.25,4.03,4.03,0,16.11,0,0,0,0,1.61,0,0,0,0,0,4.03,0,0.81,0,0
 48-58,0,0,0,0,0,0,6.89,0,1.15,2.3,0,0,7.46,0,2.87,6.31,1.15,0,12.62,0,0,0,0,0.57,0,0,0,0,0,8.61,0,0,0,0
 60-70,0,0,0,1.96,0,0,3.93,0,1.96,0.98,0,0.98,9.82,0,6.87,3.93,0,0,4.91,0,0,0,0,0,0,0,0,0,0,8.83,0,0,0,0
 72-82,0,0,0,3.93,0,0.98,5.89,0,0.98,10.8,0.98,0,14.72,0,5.89,3.93,0,0.98,13.74,0,0,0,0,0.98,0.98,0,0,0,0,11.78,0,0,0,1.96
 84-94,0,0,1.06,9.56,2.12,1.06,6.37,1.06,0,26.55,0,2.12,40.36,2.12,21.24,5.31,0,0,11.68,0,0,0,0,2.12,0,0,0,0,0,8.5,0,0,0,1.06
 96-106,0,0,1.09,12.02,0,2.19,9.84,2.19,2.19,25.14,0,0,37.16,4.37,15.3,10.93,1.09,1.09,12.02,0,1.09,0,0,1.09,0,0,0,0,0,15.3,1.09,0,1.09,2.19
108-118,0,0.77,0,6.13,0.77,13.02,4.6,0,2.3,29.87,0.77,1.53,37.53,0.77,26.04,6.13,2.3,0.77,13.02,0,0,0,0,3.06,0,0,0,0,0,7.66,0,2.3,0,3.06
120,0,0,0,11.76,3.92,5.88,3.92,0,3.92,41.16,0,1.96,19.6,0,21.56,3.92,0,0,25.48,0,0,0,0,0,0,0,0,0,0,13.72,0,3.92,0,1.96
