stage,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mucous,neural,olfactory,periderm,spinal.cord,taste,vasculature
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,3.28,1.64,0,0,0.82,0,0,0,0.82,0,0.82
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,4.03,0,0.81,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,0,4.59,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0
 72-82,0,3.93,0,0.98,0,0,0,0,0,0,0,0,5.89,0,0.98,0,14.72,0
 84-94,0,1.06,0,1.06,0,1.06,0,2.12,1.06,0,2.12,0,1.06,0,0,0,79.65,0
 96-106,0,5.46,1.09,3.28,0,2.19,0,3.28,3.28,0,0,0,3.28,1.09,0,0,112.56,0
108-118,0,9.96,2.3,0,0,3.06,0.77,9.96,1.53,0.77,0,0.77,0.77,0,0,0,127.92,0
120,0,15.68,1.96,0,3.92,1.96,0,17.64,0,0,0,0,0,0,0,0,41.16,0
