stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,24,0,0,0,1,0,0,0,1,0,0,0,7,0,0,0,1,8,0,0,0,0,0,0,1,0,0,4,0,0,0,0
 24-34,0,0,0,0.82,0.82,140.37,0,0,0.82,0.82,0,0,0,0,0,0,0,100.14,0.82,0,0,1.64,20.52,0,0,0,0,0.82,0,0,0,0,6.57,0,0,0,0
 36-46,0,0,0,2.42,0,84.6,0.81,0,0.81,0,0,0,0,0,0,0.81,0.81,120.04,5.64,0.81,0,0.81,20.14,0,0,0,0,0,0,0,0,0,5.64,0,0,0.81,1.61
 48-58,0,0,0,1.15,0,100.42,0,0.57,0.57,0,0,0.57,0.57,0.57,1.72,0.57,0.57,89.51,3.44,0,1.15,0.57,26.97,0,0,0,0,1.15,0,0,0,0.57,10.33,0,0,0,0.57
 60-70,0,0,0,2.94,0,100.12,1.96,0.98,1.96,0,0,0,0.98,0,0.98,0,0,51.04,2.94,0,0,0.98,28.46,0,0.98,0,0,0.98,0,0,0,0,6.87,0,0,0,0
 72-82,0,0,0,0,0.98,95.22,0,0.98,0,0,0,0,0.98,0,1.96,0,1.96,60.86,14.72,0,0,1.96,36.32,0,4.91,0,1.96,0.98,0.98,0,0,0,1.96,0,0,2.94,0.98
 84-94,0,0,0,3.19,1.06,180.55,1.06,0,3.19,0,0,0,0,0,5.31,0,1.06,94.52,7.43,1.06,1.06,1.06,12.74,0,1.06,0,0,7.43,0,0,0,0,1.06,0,1.06,2.12,0
 96-106,0,0,0,1.09,2.19,151.91,0,0,1.09,0,0,0,1.09,1.09,2.19,0,1.09,68.85,6.56,0,3.28,1.09,9.84,0,2.19,0,0,4.37,0,0,0,0,0,1.09,0,1.09,0
108-118,0,0,0,1.53,0.77,133.28,0.77,0,2.3,0.77,0,0,0,0.77,1.53,0,0,92.68,3.83,0,0,0.77,12.26,0.77,2.3,0,0,1.53,0,0,0.77,0,0,0,0,2.3,0.77
120,0,0,0,0,1.96,62.71,0,1.96,0,3.92,1.96,0,1.96,0,1.96,0,0,41.16,1.96,1.96,0,0,9.8,0,3.92,0,0,1.96,0,0,1.96,0,0,1.96,0,0,0
