stage,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,olfactory,otic,periderm,pgc,spinal.cord,visceral.smooth.muscle
 14-21,0,1,0,0,0,1,0,0,1,1,3,0,0,0,0,4,0
 24-34,0,0,0,0,0,0,0,0.82,1.64,0,14.78,0,0,0,0,3.28,0
 36-46,0,0.81,0.81,0,0,0,0,0,0,0,12.89,0,0.81,0,0.81,4.03,0
 48-58,0,0,2.3,0,1.15,0,0,0,1.72,0.57,13.77,0,0.57,0,0,2.87,0
 60-70,0,0.98,13.74,0.98,0.98,0,0.98,0,0.98,0,49.08,0,0,0.98,0,4.91,0
 72-82,0,0.98,15.71,0,2.94,0,0.98,0,1.96,0,30.43,0,0,0,0,1.96,0.98
 84-94,0,0,9.56,0,1.06,0,0,0,0,0,14.87,0,0,0,0,1.06,0
 96-106,0,0,2.19,0,0,0,0,0,1.09,0,3.28,0,0,0,0,0,0
108-118,0.77,0,1.53,0,0,0,0,0,0,0,9.19,0.77,0,0,0,0,0
120,0,1.96,7.84,0,0,0,0,0,0,0,5.88,0,0,0,0,1.96,0
