stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,276.74,4388.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0
  5-6,214.54,2813.5,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.56,12.26,0,0,12.26,0,85.81,0,0,0,0,0,0,0,0,0
  7-9,13.14,13.14,7.89,0,0,34.17,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,289.16,7.89,0,0,70.98,0,2.63,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26,0,0,6,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0
 24-34,0,0,0,3.28,0,0.82,0,4.1,0,0,0,0.82,0,0,0,0,55.82,0,0,27.09,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,8.06,0,0,0,0.81,0,0,0,0,174.83,0,0,45.92,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0.57,0,2.87,1.15,13.2,0,0,0,2.3,0.57,0,0,0,200.83,0,0,30.41,5.16,0,0,0,0,0,1.15,0,0,0,0,1.15,0,0,0.57,0
 60-70,0,0,0,2.94,0,4.91,0.98,24.54,1.96,0.98,0,2.94,0,0,0,0,666.45,0.98,2.94,64.78,7.85,0,0,0,0,0.98,0.98,0,0,0,0,0.98,0,2.94,2.94,0.98
 72-82,0,0,0,0.98,0.98,34.36,0,30.43,0.98,0,0,3.93,0,0.98,0,0,793.18,0,3.93,56.94,26.5,0,0.98,0.98,0,0.98,0,0,0,0,0,1.96,0,0.98,2.94,3.93
 84-94,0,0,0,4.25,0,29.74,0,29.74,5.31,0,0,2.12,0,1.06,1.06,1.06,538.45,0,5.31,45.67,6.37,0,0,0,0,1.06,1.06,0,0,0,0,0,0,6.37,0,5.31
 96-106,0,0,0,3.28,0,22.95,2.19,25.14,4.37,1.09,0,3.28,2.19,0,0,1.09,551.89,0,12.02,54.64,24.04,0,0,2.19,0,2.19,3.28,0,0,1.09,0,1.09,0,2.19,1.09,5.46
108-118,0,0,0,3.83,0.77,16.85,1.53,20.68,0.77,1.53,0,2.3,2.3,0,0,0,622.73,1.53,5.36,38.3,18.38,0,0.77,0,0,4.6,0.77,0,0,0,0,0.77,0.77,6.89,1.53,3.06
120,0,0,0,0,0,23.52,0,15.68,0,0,0,5.88,7.84,0,0,0,421.35,0,3.92,23.52,15.68,0,1.96,0,0,5.88,0,0,0,0,0,0,0,1.96,1.96,3.92
