stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,iridophores,melanocytes,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,0,0,0,0,0,0,52.57,49.95,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,40.91,53.5,0,0,0,0,0,0
 14-21,0,0,2,0,0,1,2,0,0,2,1,0,0,0,4,1,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0.82,0,0.82,0,0,0,0,3.28,0,0.82
 36-46,0,0,0,0,0.81,0,0,0,0,0.81,0,7.25,0,0,0,0,4.83,0,0
 48-58,0,0,0,0,2.87,3.44,0,0,0.57,0.57,0,24.1,0,0,0,0,4.59,0,0
 60-70,0,0,0.98,0,5.89,2.94,0,0,0,0,0,56.93,0,0,0,0,27.48,0.98,0.98
 72-82,0,0,0,0,10.8,1.96,0,0,0,1.96,0,90.31,0,0,0,0,30.43,0,0
 84-94,0,0,0,0,10.62,1.06,0,0,0,2.12,0,57.35,0,0,0,0,13.81,0,0
 96-106,0,0,2.19,0,5.46,3.28,0,0,0,1.09,0,51.36,0,2.19,0,0,4.37,0,1.09
108-118,0,0,0.77,0.77,11.49,1.53,0,0.77,0,3.06,0,65.11,0,0,0,0,4.6,0,0.77
120,0,0,0,0,7.84,0,0,0,0,3.92,0,68.59,0,0,0,0,1.96,0,0
