stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,1,1,0,0,1,22,0,0,0,0,0
 24-34,0,0.82,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0.82,150.22,0,10.67,0,0,0,0,0,0,0,0,0,36.12,0,0,0.82,0,0
 36-46,0,0,0,4.83,0,0,0,2.42,0,0,0,0.81,0,0,0,0,3.22,0,0.81,207.86,0,16.92,0.81,0,0,0,0,0,0,0,0,53.17,0,0,0,0,0
 48-58,0,1.15,0,24.1,0,0,0,3.44,0,0.57,0.57,0,0,0,0.57,0.57,0.57,0.57,0,220.91,0,23.53,0,0,0,0,0,0,0,0,0,39.02,0,0.57,0,0,0
 60-70,0,0,0,61.84,0,0,0,4.91,0,0,0,0,0,0,0,0,6.87,0,0.98,256.18,0,32.39,0,0,0,0,0,0,0,0,0,36.32,0,0,0,0,0
 72-82,0,1.96,1.96,267.99,0,0.98,0,20.61,0.98,0,0.98,0.98,0.98,0,0,0,10.8,0,0,269.96,0.98,56.94,0.98,0,0,0,0,0,0,0,0,19.63,0,0,0,0,0
 84-94,0,4.25,0,142.31,0,1.06,1.06,13.81,1.06,0,0,0,0,0,0,0,3.19,0,0,173.11,0,57.35,0,0,0,3.19,0,0,0,0,0,9.56,1.06,1.06,2.12,0,0
 96-106,0,2.19,2.19,183.6,0,1.09,1.09,22.95,1.09,0,1.09,1.09,0,0,2.19,0,19.67,0,0,153,0,134.42,1.09,0,1.09,4.37,0,0,0,0,0,8.74,2.19,0,0,0,0
108-118,0,4.6,0.77,150.89,0.77,0.77,0,12.26,0.77,0.77,0.77,0,0,0,0,0,9.96,0,0.77,143.24,0,65.87,0.77,0,0,2.3,0,0,0,0.77,0,3.83,0.77,0,0.77,0,0.77
120,0,1.96,0,84.27,0,3.92,0,19.6,1.96,0,0,1.96,0,1.96,0,0,9.8,0,0,164.62,0,58.79,1.96,0,0,0,0,0,1.96,0,0,7.84,0,0,1.96,1.96,0
