stage,blastomeres,epidermis,erythrocytes,eye,glial,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,1,1,1,0,0,0,0,1,0,1,7,2,0,0,0,0,1,0,0,3,9,0,0
 24-34,0,0,0,3.28,0,0,0,0,0,2.46,0,0.82,20.52,0,0,0.82,0,0,0,0,0,0,2.46,0.82,0
 36-46,0,0.81,0,0.81,0,0,0.81,0,0,0,0,1.61,20.14,0,0,0,0,0,0,0,0,0,5.64,0,0
 48-58,0,0.57,0,4.59,0.57,0.57,0,0,0,3.44,1.15,0,17.79,0.57,0,0,0,0,0,0,0,0,2.87,0,0
 60-70,0,0,0,1.96,1.96,0,0,0.98,0,7.85,0,0,9.82,0,0.98,0,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,5.89,0,0.98,0,0,0,4.91,0,0,10.8,0,0,0,0,0,0,0,0,0,2.94,0.98,0.98
 84-94,0,0,0,3.19,1.06,0,0,0,0,3.19,0,0,5.31,0,0,0,0,0,0,1.06,1.06,0,1.06,1.06,0
 96-106,0,0,0,1.09,0,0,0,0,0,3.28,0,1.09,1.09,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0.77,0,0.77,0,0.77,0.77,0,0,6.89,0,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,1.96,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,0
