stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,pericytes,periderm,spinal.cord,taste,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,41.86,6.57,0,0.82,17.24,0,0
 36-46,2.42,0,0,6.45,0,0,0.81,0,0,0,0,0,0.81,0,0.81,202.22,4.83,0,0.81,39.48,0,0
 48-58,0.57,1.72,0,41.89,0.57,0,1.15,0,0,0,0,0,0,0,0,262.8,4.59,0,0.57,49.92,0,0.57
 60-70,0.98,0.98,0,106,0,0,0.98,0,0,0,0,0,0.98,0.98,0,415.18,6.87,0,0,48.09,0,0
 72-82,3.93,2.94,0,175.72,0,0.98,16.69,0.98,0,0.98,0,0,6.87,0,0,377.94,1.96,0,0,20.61,0,0
 84-94,0,2.12,2.12,91.34,0,0,8.5,2.12,0,0,0,1.06,4.25,0,0,217.72,4.25,0,2.12,10.62,0,0
 96-106,2.19,3.28,1.09,97.26,0,0,7.65,0,1.09,2.19,0,0,6.56,0,0,168.3,10.93,0,0,7.65,0,0
108-118,1.53,3.06,0.77,93.45,0,0.77,6.89,0.77,0,0.77,0.77,0,2.3,0,0.77,236.68,7.66,0.77,0,2.3,0.77,0
120,1.96,1.96,0,99.95,0,0,21.56,0,0,0,0,0,7.84,1.96,3.92,276.33,5.88,0,0,7.84,0,0
