stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,39.43,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.35,76.23,0,0,36.8,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,135.32,138.47,0,0,18.88,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,126,5,1,0,0,0,0,2,0,2,0,4,0,1,0,7,0,0,2,31,184,0,1,2,0,4,0,6,1,0,8,5,0,0,5,0,0
 24-34,0,0,0.82,0.82,87.83,4.1,4.1,0,13.13,3.28,0,1.64,0,0.82,1.64,4.1,0,2.46,0.82,13.95,0,0,7.39,82.09,115.74,5.75,4.93,0,0,6.57,0,0,3.28,0,4.1,9.85,0,0,24.63,0,0.82
 36-46,0,0,0,0,37.06,2.42,3.22,0,10.47,4.83,1.61,0,0,4.03,0.81,0.81,0.81,0.81,0,34.64,0.81,0,8.06,74.93,102.32,1.61,3.22,0,0,5.64,0,0,3.22,0,0,12.89,0,0,8.86,0,0
 48-58,0.57,0,0,0,28.69,13.2,10.9,0,13.2,2.87,5.16,0,0,1.72,0.57,0.57,0,1.72,0,35,1.72,0,9.18,50.49,58.53,3.44,2.87,0,0,5.16,0,0,2.3,0,0,8.03,0,0,9.75,0,0
 60-70,0,0,0,0,35.33,30.43,8.83,0.98,9.82,4.91,4.91,0.98,0,2.94,5.89,2.94,0,1.96,0,72.63,0,0.98,6.87,44.17,33.37,2.94,3.93,0,1.96,21.59,0,0,1.96,0,0,7.85,1.96,0.98,14.72,0,0
 72-82,0,0,0.98,0,30.43,228.73,6.87,0,13.74,2.94,7.85,0.98,0,1.96,7.85,1.96,1.96,0.98,0,81.48,2.94,2.94,4.91,31.41,30.43,2.94,5.89,0,1.96,10.8,0,0,0.98,0,0,2.94,1.96,0,23.56,1.96,0
 84-94,0,0,1.06,0,48.85,147.62,11.68,1.06,27.61,6.37,2.12,4.25,0,3.19,16.99,6.37,3.19,1.06,1.06,63.72,1.06,0,4.25,15.93,42.48,5.31,3.19,0,0,53.1,1.06,0,7.43,0,0,4.25,4.25,0,22.3,0,1.06
 96-106,1.09,0,0,0,43.71,144.26,7.65,0,27.32,7.65,5.46,3.28,0,1.09,19.67,3.28,0,2.19,1.09,43.71,5.46,2.19,3.28,18.58,37.16,3.28,4.37,0,0,39.34,0,0,1.09,0,0,1.09,1.09,1.09,12.02,0,0
108-118,0,0,0,0,53.62,89.62,5.36,0.77,25.28,3.83,3.83,5.36,0,0.77,22.98,3.83,3.06,2.3,0,40.6,2.3,0,3.06,19.15,18.38,1.53,4.6,0,0,34.47,0,0,2.3,1.53,0,0.77,3.83,1.53,16.85,0,0
120,0,0,0,0,58.79,86.23,3.92,0,9.8,3.92,3.92,13.72,0,0,21.56,1.96,0,1.96,1.96,29.4,0,0,0,13.72,37.24,3.92,3.92,0,0,29.4,0,0,1.96,1.96,0,1.96,5.88,0,3.92,0,0
