stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,0,5.26,0,0,0,0,0,0,0,0,0,0,47.32,2.63,0,0,147.21,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,195.11,0,3.15,6.29,0,3.15,0,0,0
 14-21,0,0,1,0,0,0,0,1,0,0,0,2,0,0,11,7,0,0,0,0,0,100,1,1,118,12,1,0
 24-34,0,0,0.82,0,0,0,2.46,1.64,0,0,0,3.28,0,0,17.24,10.67,0,0,0,0,4.93,1.64,0,0,49.25,12.31,4.1,0
 36-46,0,0,0,0,2.42,0,0,0.81,0,0,0,5.64,0,0,4.83,4.83,0,0,0,0,2.42,0,0.81,0,0,8.06,1.61,0
 48-58,0,0,0,0,4.02,0.57,2.3,1.72,0.57,0,0.57,2.87,0,0,2.87,8.03,0,0.57,0,0,0,0,0,0,0,10.33,2.3,0
 60-70,0,0,0.98,0,4.91,0,2.94,2.94,0.98,0,0,3.93,0,0,1.96,20.61,0,0.98,1.96,0,0.98,0,0,0,0,5.89,4.91,0
 72-82,0,0,0.98,0,9.82,0,9.82,5.89,1.96,0,0,7.85,0,0.98,1.96,24.54,0,0.98,0,0,0.98,0,0,0,0,2.94,6.87,0.98
 84-94,0,0,2.12,0,4.25,0,2.12,3.19,0,0,0,9.56,0,0,1.06,7.43,0,0,0,0,0,0,0,0,0,1.06,2.12,0
 96-106,0,0,2.19,0,4.37,0,1.09,4.37,0,0,1.09,4.37,0,0,0,7.65,0,0,0,0,6.56,0,0,0,0,1.09,10.93,0
108-118,0,0,4.6,0.77,3.06,0,3.83,6.13,1.53,0,0,2.3,0.77,0,0.77,4.6,0,1.53,0,0,3.83,0,0,0,0,3.83,9.19,0
120,0,0,1.96,0,3.92,0,0,5.88,0,1.96,0,0,0,0,0,13.72,0,0,0,0,1.96,0,0,0,0,3.92,5.88,0
